word,The Craft,Stardust,total
im,56,71,127
know,57,44,101
dont,63,37,100
oh,31,52,83
go,44,29,73
youre,31,41,72
yeah,42,29,71
like,36,34,70
come,30,29,59
right,23,33,56
think,30,25,55
look,27,25,52
want,34,17,51
really,26,24,50
sorry,25,23,48
see,17,31,48
good,23,25,48
thats,26,21,47
back,17,24,41
going,22,17,39
please,20,16,36
ill,16,20,36
whats,24,11,35
yes,8,25,33
hes,17,16,33
shes,20,12,32
way,11,19,30
cant,18,12,30
stop,23,5,28
okay,21,7,28
mean,16,12,28
home,9,19,28
wait,16,11,27
time,5,22,27
maybe,15,12,27
little,14,13,27
heart,3,24,27
love,11,15,26
lets,9,17,26
god,20,6,26
didnt,19,7,26
need,14,11,25
ive,5,20,25
take,9,14,23
father,2,21,23
id,2,20,22
better,6,16,22
thought,9,12,21
tell,9,12,21
make,10,11,21
gonna,15,6,21
boy,1,20,21
guys,18,2,20
girl,6,14,20
mother,5,14,19
give,6,13,19
shall,2,16,18
people,8,10,18
theyre,11,6,17
man,6,11,17
head,12,5,17
youll,2,14,16
fine,8,8,16
doing,8,8,16
away,8,8,16
understand,8,7,15
thing,7,8,15
night,3,12,15
nice,9,6,15
theres,4,10,14
thank,3,11,14
sure,7,7,14
hear,8,6,14
day,3,11,14
told,5,8,13
life,6,7,13
hold,6,7,13
find,3,10,13
wanted,4,8,12
saying,8,4,12
light,9,3,12
help,5,7,12
harm,10,2,12
happened,7,5,12
bring,1,11,12
watch,6,5,11
two,1,10,11
trying,6,5,11
things,6,5,11
talking,7,4,11
sister,1,10,11
put,6,5,11
powers,10,1,11
magic,8,3,11
looking,7,4,11
girls,9,2,11
big,6,5,11
believe,6,5,11
witch,8,2,10
wish,1,9,10
three,8,2,10
thee,9,1,10
keep,5,5,10
dead,5,5,10
coming,4,6,10
beautiful,6,4,10
work,3,6,9
use,3,6,9
true,3,6,9
touch,5,4,9
stay,6,3,9
place,4,5,9
north,6,3,9
new,3,6,9
leave,5,4,9
killed,6,3,9
kill,6,3,9
honey,8,1,9
heard,2,7,9
great,5,4,9
feel,8,1,9
doesnt,6,3,9
course,3,6,9
close,3,6,9
ask,4,5,9
actually,4,5,9
wrong,5,3,8
world,1,7,8
working,7,1,8
weird,6,2,8
try,4,4,8
times,7,1,8
thinking,4,4,8
sleep,2,6,8
shut,5,3,8
mind,4,4,8
made,5,3,8
late,3,5,8
kind,2,6,8
idea,1,7,8
hate,6,2,8
hair,5,3,8
gone,3,5,8
funny,3,5,8
eyes,4,4,8
earth,6,2,8
came,3,5,8
youd,2,5,7
woman,1,6,7
weve,2,5,7
sit,4,3,7
sisters,4,3,7
seen,2,5,7
perfect,4,3,7
matter,5,2,7
luck,1,6,7
live,1,6,7
hit,6,1,7
hello,4,3,7
having,3,4,7
getting,4,3,7
forget,4,3,7
five,4,3,7
call,6,1,7
arent,4,3,7
whos,4,2,6
warm,2,4,6
used,2,4,6
trust,2,4,6
soon,1,5,6
set,1,5,6
second,5,1,6
run,4,2,6
ring,1,5,6
ready,3,3,6
read,5,1,6
pretty,5,1,6
old,2,4,6
hell,4,2,6
heads,3,3,6
happen,5,1,6
gift,1,5,6
exactly,1,5,6
end,4,2,6
drink,4,2,6
deal,2,4,6
cause,5,1,6
called,3,3,6
bernard,1,5,6
ago,1,5,6
youve,1,4,5
whoa,1,4,5
west,3,2,5
water,4,1,5
wasnt,1,4,5
walk,2,3,5
turn,2,3,5
today,3,2,5
