word,The Witches of Eastwick,Halloweentown,total
dont,69,54,123
know,50,66,116
oh,19,83,102
im,40,60,100
like,32,64,96
come,29,51,80
go,26,47,73
thats,36,32,68
see,29,39,68
want,31,25,56
youre,23,32,55
right,22,33,55
yes,29,23,52
cant,29,23,52
think,28,19,47
look,19,27,46
little,28,17,45
good,21,23,44
time,16,23,39
lets,17,21,38
going,18,19,37
thing,6,30,36
make,21,13,34
yeah,10,23,33
back,11,22,33
mom,1,31,32
mother,1,30,31
stop,14,15,29
shes,12,17,29
really,11,17,28
mean,5,23,28
world,6,20,26
take,15,11,26
ooh,1,25,26
help,3,21,24
whats,15,8,23
doesnt,7,16,23
kids,5,17,22
doing,13,9,22
didnt,5,17,22
two,8,13,21
man,10,11,21
hes,11,10,21
big,6,15,21
way,7,13,20
things,12,8,20
sorry,10,10,20
ill,5,15,20
home,4,16,20
thank,10,9,19
youve,4,14,18
theyre,12,6,18
maybe,6,12,18
life,8,10,18
house,8,10,18
give,5,13,18
woman,15,2,17
witches,2,15,17
put,3,14,17
please,5,12,17
ive,5,12,17
feel,14,3,17
love,15,1,16
keep,6,10,16
children,4,12,16
theres,4,11,15
nice,9,6,15
need,5,10,15
isnt,10,5,15
huh,5,10,15
coming,3,12,15
um,4,10,14
uh,1,13,14
trying,6,8,14
thanks,1,13,14
tell,4,10,14
talk,8,6,14
long,2,12,14
human,4,10,14
day,9,5,14
call,10,4,14
better,6,8,14
bad,3,11,14
wait,5,8,13
true,8,5,13
sure,8,5,13
open,6,7,13
kind,6,7,13
evil,4,9,13
came,3,10,13
away,8,5,13
wrong,7,5,12
understand,7,5,12
town,8,4,12
thought,4,8,12
talking,7,5,12
place,4,8,12
mm,6,6,12
hi,6,6,12
happen,10,2,12
ha,3,9,12
fine,6,6,12
excuse,3,9,12
course,5,7,12
believe,5,7,12
normal,2,9,11
name,10,1,11
hello,4,7,11
great,5,6,11
family,6,5,11
ah,2,9,11
whoo,1,9,10
use,5,5,10
try,5,5,10
three,7,3,10
people,6,4,10
men,9,1,10
made,5,5,10
hear,4,6,10
wont,3,6,9
powerful,2,7,9
pain,8,1,9
old,1,8,9
looking,7,2,9
hair,1,8,9
guys,1,8,9
guess,1,8,9
days,3,6,9
actually,2,7,9
work,3,5,8
weird,1,7,8
trouble,2,6,8
today,6,2,8
terrible,7,1,8
sweetheart,4,4,8
shell,3,5,8
remember,3,5,8
night,2,6,8
id,3,5,8
getting,2,6,8
chance,1,7,8
care,5,3,8
afraid,5,3,8
weve,1,6,7
used,2,5,7
trick,1,6,7
told,5,2,7
thinking,4,3,7
sweet,5,2,7
sick,5,2,7
poor,5,2,7
number,3,4,7
new,5,2,7
minute,2,5,7
mind,6,1,7
knew,2,5,7
hurt,4,3,7
head,3,4,7
having,5,2,7
havent,1,6,7
hard,5,2,7
friends,4,3,7
forever,2,5,7
fight,1,6,7
end,1,6,7
eat,5,2,7
done,4,3,7
dead,5,2,7
dark,2,5,7
creatures,1,6,7
cream,6,1,7
bed,4,3,7
arent,6,1,7
appreciate,4,3,7
trust,3,3,6
times,3,3,6
stay,1,5,6
start,1,5,6
short,5,1,6
party,1,5,6
ow,1,5,6
meet,5,1,6
lunch,5,1,6
leave,1,5,6
late,3,3,6
kid,3,3,6
ice,5,1,6
hell,5,1,6
happening,3,3,6
guy,2,4,6
find,1,5,6
doctor,5,1,6
dinner,1,5,6
crazy,3,3,6
couldnt,4,2,6
called,4,2,6
ask,3,3,6
wouldnt,3,2,5
works,1,4,5
wanted,2,3,5
tomorrow,3,2,5
supposed,2,3,5
suppose,1,4,5
strange,4,1,5
starts,4,1,5
sit,3,2,5
shut,3,2,5
shh,3,2,5
school,1,4,5
pretend,1,4,5
nature,3,2,5
lot,2,3,5
lost,2,3,5
looks,2,3,5
local,3,2,5
later,1,4,5
knows,4,1,5
inside,4,1,5
idea,1,4,5
hoo,1,4,5
honey,4,1,5
hold,2,3,5
happy,3,2,5
handsome,3,2,5
force,1,4,5
feeling,4,1,5
especially,2,3,5
dumb,2,3,5
disappear,3,2,5
couple,3,2,5
chocolate,4,1,5
bring,1,4,5
bone,3,2,5
bit,3,2,5
anymore,3,2,5
admit,3,2,5
young,1,3,4
youd,1,3,4
wish,2,2,4
win,3,1,4
watch,1,3,4
waiting,2,2,4
upset,3,1,4
truth,2,2,4
tired,1,3,4
stupid,3,1,4
started,2,2,4
six,3,1,4
shop,2,2,4
serious,1,3,4
seeing,2,2,4
reason,1,3,4
problem,3,1,4
prince,3,1,4
power,2,2,4
ones,2,2,4
needed,3,1,4
mistake,2,2,4
miss,2,2,4
lucky,2,2,4
left,3,1,4
join,1,3,4
huge,3,1,4
hand,2,2,4
goodness,2,2,4
gone,2,2,4
goes,1,3,4
future,2,2,4
funny,2,2,4
found,1,3,4
fish,3,1,4
fellow,1,3,4
fabulous,3,1,4
dream,1,3,4
different,2,2,4
deal,2,2,4
darling,3,1,4
creature,1,3,4
business,3,1,4
boy,1,3,4
boring,2,2,4
best,2,2,4
baby,1,3,4
youll,2,1,3
worst,1,2,3
worlds,1,2,3
word,2,1,3
wonderful,1,2,3
went,2,1,3
treat,1,2,3
top,2,1,3
thursday,2,1,3
th,1,2,3
telling,1,2,3
teach,1,2,3
talked,2,1,3
store,2,1,3
standing,2,1,3
stand,2,1,3
sleep,1,2,3
shopping,1,2,3
settle,2,1,3
sell,1,2,3
seen,2,1,3
sea,2,1,3
saying,2,1,3
running,1,2,3
quick,1,2,3
prefer,2,1,3
practice,2,1,3
polite,1,2,3
playing,2,1,3
pick,2,1,3
person,2,1,3
perfect,1,2,3
moving,1,2,3
mouth,1,2,3
mothers,1,2,3
missing,1,2,3
missed,2,1,3
met,1,2,3
making,2,1,3
loved,1,2,3
losing,1,2,3
lose,1,2,3
lock,1,2,3
line,1,2,3
kiss,2,1,3
keeps,1,2,3
hope,1,2,3
hed,2,1,3
heart,1,2,3
hang,1,2,3
half,1,2,3
growing,2,1,3
grow,2,1,3
gave,2,1,3
fun,1,2,3
full,2,1,3
forgot,2,1,3
fill,1,2,3
fighting,1,2,3
fear,1,2,3
far,1,2,3
face,1,2,3
duh,1,2,3
dressed,1,2,3
destroy,1,2,3
daddy,2,1,3
cute,1,2,3
child,1,2,3
catch,1,2,3
calling,1,2,3
buying,1,2,3
boys,2,1,3
attention,2,1,3
asleep,1,2,3
worked,1,1,2
weeks,1,1,2
waste,1,1,2
using,1,1,2
unfair,1,1,2
toxic,1,1,2
touch,1,1,2
tooth,1,1,2
thee,1,1,2
taste,1,1,2
taking,1,1,2
taken,1,1,2
swear,1,1,2
sounds,1,1,2
sounded,1,1,2
smell,1,1,2
shelves,1,1,2
shed,1,1,2
send,1,1,2
scare,1,1,2
sake,1,1,2
room,1,1,2
rest,1,1,2
respect,1,1,2
ready,1,1,2
reading,1,1,2
purpose,1,1,2
purple,1,1,2
promise,1,1,2
pretending,1,1,2
pouring,1,1,2
possibly,1,1,2
point,1,1,2
past,1,1,2
passed,1,1,2
pardon,1,1,2
nose,1,1,2
nights,1,1,2
neighbor,1,1,2
miserable,1,1,2
lovely,1,1,2
lives,1,1,2
limp,1,1,2
leaves,1,1,2
learn,1,1,2
kept,1,1,2
immune,1,1,2
honor,1,1,2
homes,1,1,2
high,1,1,2
hiding,1,1,2
heres,1,1,2
heard,1,1,2
heads,1,1,2
hasnt,1,1,2
hanging,1,1,2
goodbye,1,1,2
glad,1,1,2
gets,1,1,2
forget,1,1,2
flowers,1,1,2
fit,1,1,2
fall,1,1,2
everybodys,1,1,2
eating,1,1,2
drop,1,1,2
drinking,1,1,2
death,1,1,2
count,1,1,2
compared,1,1,2
comes,1,1,2
citizens,1,1,2
chaos,1,1,2
certainly,1,1,2
century,1,1,2
busy,1,1,2
broken,1,1,2
breaking,1,1,2
body,1,1,2
beds,1,1,2
amazing,1,1,2
added,1,1,2
acid,1,1,2
absolutely,1,1,2
daryl,20,0,20
alex,20,0,20
women,17,0,17
okay,16,0,16
jane,15,0,15
clyde,15,0,15
felicia,14,0,14
sukie,13,0,13
somebody,13,0,13
god,12,0,12
eyes,9,0,9
tickle,8,0,8
bought,8,0,8
van,7,0,7
play,7,0,7
easy,7,0,7
walter,6,0,6
husband,6,0,6
horne,6,0,6
faster,6,0,6
anybody,6,0,6
pregnant,5,0,5
morning,5,0,5
mistakes,5,0,5
matter,5,0,5
lenox,5,0,5
ladies,5,0,5
hmm,5,0,5
girls,5,0,5
fuck,5,0,5
four,5,0,5
eastwick,5,0,5
whores,4,0,4
week,4,0,4
sugar,4,0,4
small,4,0,4
precision,4,0,4
passion,4,0,4
nobodys,4,0,4
music,4,0,4
makes,4,0,4
liberty,4,0,4
interview,4,0,4
interesting,4,0,4
happens,4,0,4
five,4,0,4
fidel,4,0,4
divorce,4,0,4
disintegrating,4,0,4
devil,4,0,4
birds,4,0,4
answer,4,0,4
york,3,0,3
wife,3,0,3
wash,3,0,3
uhn,3,0,3
spofford,3,0,3
snowy,3,0,3
shit,3,0,3
sense,3,0,3
selling,3,0,3
rid,3,0,3
relax,3,0,3
prissy,3,0,3
pianos,3,0,3
peculiar,3,0,3
peanut,3,0,3
pay,3,0,3
newspaper,3,0,3
news,3,0,3
natural,3,0,3
mrs,3,0,3
mirror,3,0,3
jelly,3,0,3
janey,3,0,3
honest,3,0,3
hardships,3,0,3
foreign,3,0,3
feed,3,0,3
fault,3,0,3
fair,3,0,3
drugs,3,0,3
double,3,0,3
die,3,0,3
daylight,3,0,3
crawl,3,0,3
christ,3,0,3
cherry,3,0,3
case,3,0,3
butter,3,0,3
broad,3,0,3
