word,Snow White and the Seven Dwarves,Halloweentown II,total
oh,47,99,146
spell,1,94,95
dont,35,42,77
im,25,49,74
go,39,35,74
like,16,46,62
right,10,47,57
know,17,40,57
uh,38,18,56
thats,10,42,52
yes,28,22,50
come,18,26,44
dig,38,1,39
cant,11,28,39
back,2,37,39
look,18,19,37
good,18,19,37
happy,32,3,35
youre,12,22,34
think,2,31,33
see,13,18,31
yeah,4,26,30
little,13,16,29
ill,13,15,28
time,3,24,27
mean,6,21,27
hes,2,25,27
world,2,24,26
work,17,7,24
sure,6,18,24
ya,21,2,23
magic,6,17,23
find,10,13,23
theres,9,13,22
take,11,11,22
make,12,10,22
house,6,16,22
maybe,5,16,21
hey,8,13,21
shes,13,7,20
love,18,2,20
lets,5,15,20
going,3,17,20
really,2,17,19
gonna,1,18,19
away,16,3,19
wait,7,11,18
whats,5,12,17
way,3,14,17
want,2,15,17
stop,6,11,17
end,13,4,17
door,12,5,17
music,1,15,16
home,10,6,16
day,13,3,16
tsk,12,3,15
old,12,3,15
didnt,2,13,15
bye,10,5,15
wont,6,8,14
thing,3,11,14
tell,6,8,14
lost,2,12,14
gotta,6,8,14
big,3,11,14
guess,3,10,13
year,2,10,12
things,3,9,12
theyre,4,8,12
please,7,5,12
give,2,10,12
ahh,11,1,12
watch,7,4,11
talk,3,8,11
shh,9,2,11
room,5,6,11
put,1,10,11
place,4,7,11
night,5,6,11
need,1,10,11
mother,2,9,11
ive,4,7,11
help,2,9,11
feel,3,8,11
doesnt,2,9,11
black,3,8,11
youll,8,2,10
voice,3,7,10
use,2,8,10
screaming,8,2,10
huh,3,7,10
head,1,9,10
em,5,5,10
dreams,7,3,10
try,2,7,9
thanks,4,5,9
sorry,2,7,9
run,7,2,9
remember,2,7,9
open,1,8,9
id,2,7,9
believe,1,8,9
witch,1,7,8
wishing,7,1,8
wish,7,1,8
thought,4,4,8
nice,2,6,8
made,2,6,8
keep,2,6,8
hold,7,1,8
high,1,7,8
hide,5,3,8
hear,2,6,8
gosh,7,1,8
gone,3,5,8
fun,2,6,8
children,4,4,8
call,2,6,8
bad,6,2,8
youve,1,6,7
youd,1,6,7
wheres,1,6,7
water,6,1,7
stuff,1,6,7
show,1,6,7
knew,1,6,7
kind,1,6,7
hurry,3,4,7
fly,3,4,7
fine,5,2,7
better,1,6,7
afraid,2,5,7
wind,5,1,6
wanna,1,5,6
sweet,1,5,6
stay,3,3,6
soon,4,2,6
shoes,4,2,6
pick,3,3,6
ooh,1,5,6
minute,1,5,6
mine,5,1,6
isnt,2,4,6
hate,1,5,6
hard,4,2,6
forget,1,5,6
forever,4,2,6
comfortable,5,1,6
clean,4,2,6
careful,3,3,6
called,1,5,6
buzzing,5,1,6
wonder,1,4,5
table,2,3,5
story,4,1,5
ready,1,4,5
long,1,4,5
live,1,4,5
knows,2,3,5
itll,2,3,5
inside,1,4,5
hello,3,2,5
happened,1,4,5
girl,1,4,5
full,4,1,5
found,1,4,5
far,2,3,5
eye,2,3,5
empty,1,4,5
break,1,4,5
bed,1,4,5
young,2,2,4
wrong,2,2,4
worry,2,2,4
words,3,1,4
woman,2,2,4
witchs,1,3,4
upstairs,3,1,4
turned,1,3,4
turn,1,3,4
tried,1,3,4
theyve,3,1,4
stole,2,2,4
somethings,2,2,4
skin,2,2,4
secret,2,2,4
quite,3,1,4
pull,1,3,4
poor,3,1,4
outside,1,3,4
matter,2,2,4
mama,2,2,4
mad,3,1,4
kiss,3,1,4
keeps,3,1,4
hurt,3,1,4
hmm,2,2,4
hell,3,1,4
goodness,2,2,4
goblin,1,3,4
frogs,1,3,4
face,2,2,4
dead,3,1,4
cute,3,1,4
croaking,2,2,4
couldnt,1,3,4
cause,1,3,4
care,2,2,4
broom,3,1,4
ahem,2,2,4
whos,2,1,3
trapped,1,2,3
tonight,1,2,3
steal,1,2,3
started,1,2,3
sound,1,2,3
sort,1,2,3
shall,2,1,3
running,1,2,3
rose,1,2,3
rest,1,2,3
poison,2,1,3
pleasant,2,1,3
perfect,1,2,3
papa,2,1,3
ordinary,1,2,3
nose,1,2,3
new,1,2,3
mm,1,2,3
meet,2,1,3
listen,1,2,3
life,2,1,3
hoping,2,1,3
hang,1,2,3
hand,2,1,3
hair,2,1,3
groaning,2,1,3
goes,1,2,3
felt,1,2,3
everythings,1,2,3
done,1,2,3
disguise,2,1,3
dance,1,2,3
cottage,2,1,3
complete,1,2,3
close,2,1,3
change,1,2,3
bunch,2,1,3
brought,1,2,3
bring,1,2,3
brew,2,1,3
breath,2,1,3
bones,2,1,3
best,1,2,3
bedtime,1,2,3
beautiful,1,2,3
ask,1,2,3
arent,1,2,3
windows,1,1,2
trouble,1,1,2
tricked,1,1,2
transform,1,1,2
touch,1,1,2
thirsty,1,1,2
suspect,1,1,2
summon,1,1,2
strong,1,1,2
strangers,1,1,2
step,1,1,2
standing,1,1,2
seventh,1,1,2
scream,1,1,2
pretty,1,1,2
past,1,1,2
natural,1,1,2
million,1,1,2
lovely,1,1,2
happen,1,1,2
grow,1,1,2
glass,1,1,2
girls,1,1,2
funny,1,1,2
follow,1,1,2
floor,1,1,2
fire,1,1,2
female,1,1,2
eyes,1,1,2
escaping,1,1,2
eat,1,1,2
easy,1,1,2
darkness,1,1,2
dark,1,1,2
dancing,1,1,2
cupboard,1,1,2
count,1,1,2
closing,1,1,2
cloak,1,1,2
child,1,1,2
charming,1,1,2
catch,1,1,2
cat,1,1,2
cares,1,1,2
begins,1,1,2
begin,1,1,2
awful,1,1,2
asleep,1,1,2
apples,1,1,2
anybody,1,1,2
snow,87,0,87
white,86,0,86
ah,80,0,80
ho,78,0,78
heigh,71,0,71
doc,57,0,57
dwarfs,54,0,54
grumpy,51,0,51
queen,39,0,39
sneezy,30,0,30
singing,26,0,26
twittering,22,0,22
song,21,0,21
laughing,21,0,21
cackling,19,0,19
bashful,18,0,18
whistling,16,0,16
men,14,0,14
la,14,0,14
heart,14,0,14
continues,14,0,14
unison,13,0,13
hah,13,0,13
true,12,0,12
humming,12,0,12
sung,11,0,11
echoing,11,0,11
apple,11,0,11
tub,10,0,10
spoken,10,0,10
gasping,10,0,10
