word,The Craft,Hocus Pocus,total
dont,63,50,113
come,30,83,113
oh,31,73,104
im,56,44,100
go,44,47,91
know,57,25,82
yeah,42,36,78
youre,31,25,56
like,36,18,54
right,23,29,52
look,27,23,50
little,14,34,48
good,23,24,47
okay,21,24,45
want,34,10,44
think,30,12,42
sarah,29,13,42
book,4,37,41
sisters,4,35,39
bye,4,35,39
yes,8,30,38
sorry,25,13,38
really,26,12,38
hey,1,37,38
see,17,20,37
thats,26,9,35
dead,5,27,32
whats,24,7,31
going,22,9,31
cant,18,13,31
way,11,19,30
take,9,21,30
stop,23,7,30
lets,9,21,30
ill,16,14,30
back,17,13,30
theyre,11,18,29
please,20,9,29
wait,16,12,28
hes,17,11,28
put,6,21,27
gonna,15,12,27
god,20,7,27
shes,20,6,26
guys,18,8,26
spell,5,20,25
maybe,15,9,24
life,6,16,22
didnt,19,3,22
uh,1,20,21
time,5,16,21
mean,16,5,21
make,10,11,21
ive,5,16,21
home,9,12,21
hi,9,12,21
witches,2,18,20
remember,3,16,19
need,14,5,19
thee,9,9,18
man,6,12,18
love,11,7,18
watch,6,11,17
tell,9,8,17
mom,4,13,17
listen,6,11,17
gone,3,14,17
thy,1,15,16
huh,2,14,16
dad,6,10,16
black,3,13,16
away,8,8,16
witch,8,7,15
whoa,1,14,15
thing,7,8,15
theres,4,11,15
power,12,3,15
help,5,10,15
hello,4,11,15
head,12,3,15
great,5,10,15
treat,1,13,14
three,8,6,14
shall,2,12,14
old,2,12,14
nice,9,5,14
magic,8,6,14
give,6,8,14
child,1,13,14
wanna,2,11,13
thought,9,4,13
open,2,11,13
night,3,10,13
light,9,4,13
house,3,10,13
hold,6,7,13
fine,8,5,13
find,3,10,13
call,6,7,13
believe,6,7,13
times,7,5,12
ooh,1,11,12
mother,5,7,12
honey,8,4,12
hmm,1,11,12
harm,10,2,12
feel,8,4,12
thank,3,8,11
stay,6,5,11
sister,1,10,11
powers,10,1,11
people,8,3,11
move,4,7,11
mine,2,9,11
happened,7,4,11
girl,6,5,11
weird,6,4,10
sure,7,3,10
run,4,6,10
looking,7,3,10
kill,6,4,10
hate,6,4,10
girls,9,1,10
friends,4,6,10
cause,5,5,10
big,6,4,10
better,6,4,10
beautiful,6,4,10
bad,6,4,10
working,7,2,9
told,5,4,9
strong,1,8,9
shut,5,4,9
school,4,5,9
place,4,5,9
pay,7,2,9
hear,8,1,9
doing,8,1,9
doesnt,6,3,9
circle,6,3,9
boy,1,8,9
aint,2,7,9
wrong,5,3,8
wow,1,7,8
trying,6,2,8
things,6,2,8
thanks,2,6,8
talking,7,1,8
supposed,4,4,8
stuff,4,4,8
real,5,3,8
ready,3,5,8
play,2,6,8
made,5,3,8
leave,5,3,8
killed,6,2,8
hit,6,2,8
hell,4,4,8
havent,2,6,8
hair,5,3,8
coming,4,4,8
youll,2,5,7
touch,5,2,7
pretty,5,2,7
perfect,4,3,7
new,3,4,7
matter,5,2,7
long,1,6,7
keep,5,2,7
hot,2,5,7
guess,3,4,7
gotta,5,2,7
forget,4,3,7
fire,4,3,7
end,4,3,7
earth,6,1,7
drink,4,3,7
day,3,4,7
darling,2,5,7
damn,1,6,7
ask,4,3,7
whos,4,2,6
weve,2,4,6
wanted,4,2,6
used,2,4,6
try,4,2,6
treating,1,5,6
talk,4,2,6
sun,1,5,6
show,3,3,6
scared,4,2,6
read,5,1,6
rain,1,5,6
party,2,4,6
makes,4,2,6
lot,2,4,6
isnt,2,4,6
id,2,4,6
high,1,5,6
fun,1,5,6
finger,5,1,6
eyes,4,2,6
everybody,3,3,6
care,1,5,6
calm,2,4,6
called,3,3,6
weirdos,2,3,5
water,4,1,5
use,3,2,5
turn,2,3,5
tonight,2,3,5
spells,3,2,5
red,4,1,5
moon,1,4,5
miss,1,4,5
minute,2,3,5
kind,2,3,5
kids,1,4,5
jealous,3,2,5
hang,3,2,5
hand,2,3,5
ground,1,4,5
getting,4,1,5
found,2,3,5
form,2,3,5
five,4,1,5
father,2,3,5
fat,1,4,5
far,2,3,5
face,1,4,5
eve,1,4,5
deep,3,2,5
deal,2,3,5
couldnt,2,3,5
concentrate,2,3,5
comes,3,2,5
careful,1,4,5
baby,2,3,5
youd,2,2,4
worst,1,3,4
world,1,3,4
worked,2,2,4
work,3,1,4
wish,1,3,4
white,3,1,4
wear,1,3,4
two,1,3,4
true,3,1,4
today,3,1,4
taking,1,3,4
sweet,2,2,4
summon,1,3,4
seen,2,2,4
scary,2,2,4
save,1,3,4
room,3,1,4
relax,3,1,4
reason,3,1,4
powerful,2,2,4
poor,1,3,4
morning,1,3,4
live,1,3,4
later,2,2,4
late,3,1,4
joke,2,2,4
idea,1,3,4
hows,3,1,4
heavy,3,1,4
having,3,1,4
guy,3,1,4
funny,3,1,4
full,1,3,4
fly,2,2,4
fingers,2,2,4
fault,1,3,4
exist,3,1,4
dream,2,2,4
devil,3,1,4
crazy,3,1,4
course,3,1,4
cool,1,3,4
check,1,3,4
candles,1,3,4
butt,3,1,4
burn,1,3,4
bring,1,3,4
ancient,1,3,4
ago,1,3,4
youve,1,2,3
wouldnt,1,2,3
woman,1,2,3
warm,2,1,3
waiting,2,1,3
tomorrow,2,1,3
teach,1,2,3
steal,2,1,3
started,2,1,3
start,1,2,3
spent,1,2,3
speak,1,2,3
sort,1,2,3
soon,1,2,3
sleep,2,1,3
satan,1,2,3
phone,2,1,3
outside,2,1,3
nobodys,1,2,3
needle,2,1,3
nah,2,1,3
mr,2,1,3
middle,2,1,3
los,1,2,3
learn,2,1,3
laid,2,1,3
jerk,2,1,3
hurt,2,1,3
hundred,2,1,3
howd,2,1,3
hour,2,1,3
half,1,2,3
green,2,1,3
fool,1,2,3
follow,1,2,3
excuse,1,2,3
especially,2,1,3
dreams,2,1,3
days,2,1,3
cruel,1,2,3
chance,1,2,3
cash,1,2,3
bed,2,1,3
angeles,1,2,3
wont,1,1,2
window,1,1,2
week,1,1,2
wasnt,1,1,2
waah,1,1,2
voice,1,1,2
view,1,1,2
upstairs,1,1,2
thoughts,1,1,2
theyd,1,1,2
telling,1,1,2
suffer,1,1,2
stupid,1,1,2
spending,1,1,2
song,1,1,2
snakes,1,1,2
shy,1,1,2
shouldve,1,1,2
set,1,1,2
saved,1,1,2
safe,1,1,2
sad,1,1,2
sack,1,1,2
running,1,1,2
quiet,1,1,2
probably,1,1,2
pig,1,1,2
person,1,1,2
part,1,1,2
noticed,1,1,2
needs,1,1,2
moving,1,1,2
luck,1,1,2
leaving,1,1,2
leaves,1,1,2
knows,1,1,2
known,1,1,2
itll,1,1,2
invented,1,1,2
imagine,1,1,2
hole,1,1,2
hat,1,1,2
happy,1,1,2
given,1,1,2
games,1,1,2
fill,1,1,2
feet,1,1,2
exactly,1,1,2
eat,1,1,2
door,1,1,2
died,1,1,2
dangerous,1,1,2
cute,1,1,2
curtains,1,1,2
company,1,1,2
clear,1,1,2
class,1,1,2
carry,1,1,2
breath,1,1,2
bet,1,1,2
bathroom,1,1,2
area,1,1,2
anybody,1,1,2
answer,1,1,2
ahead,1,1,2
nancy,21,0,21
chris,17,0,17
shit,13,0,13
manon,10,0,10
invoke,10,0,10
watchtowers,8,0,8
understand,8,0,8
saying,8,0,8
laura,8,0,8
hail,8,0,8
guardians,8,0,8
bonnie,7,0,7
pathetic,6,0,6
north,6,0,6
fourth,6,0,6
second,5,0,5
rochelle,5,0,5
paranoid,5,0,5
money,5,0,5
inside,5,0,5
happen,5,0,5
francis,5,0,5
connie,5,0,5
bitch,5,0,5
air,5,0,5
weak,4,0,4
tricky,4,0,4
thinking,4,0,4
sit,4,0,4
scars,4,0,4
san,4,0,4
practice,4,0,4
mind,4,0,4
lights,4,0,4
francisco,4,0,4
football,4,0,4
feather,4,0,4
enter,4,0,4
couch,4,0,4
board,4,0,4
bind,4,0,4
ass,4,0,4
arent,4,0,4
actually,4,0,4
west,3,0,3
tv,3,0,3
surprised,3,0,3
stiff,3,0,3
spirit,3,0,3
south,3,0,3
somebody,3,0,3
serpent,3,0,3
ray,3,0,3
nature,3,0,3
natural,3,0,3
looks,3,0,3
