word,The Witches of Eastwick,Sabrina the Teenage Witch,total
know,50,55,105
oh,19,51,70
like,32,28,60
come,29,31,60
yeah,10,48,58
okay,16,41,57
go,26,29,55
right,22,29,51
want,31,19,50
think,28,21,49
yes,29,16,45
see,29,13,42
good,21,19,40
going,18,21,39
time,16,21,37
little,28,9,37
love,15,20,35
make,21,13,34
look,19,14,33
ll,1,32,33
great,5,28,33
really,11,20,31
sure,8,21,29
mean,5,24,29
back,11,18,29
take,15,11,26
maybe,6,16,22
hi,6,15,21
feel,14,6,20
tell,4,15,19
doing,13,6,19
day,9,10,19
thing,6,12,18
thanks,1,17,18
nice,9,9,18
stop,14,3,17
somebody,13,4,17
huh,5,12,17
woman,15,1,16
way,7,9,16
two,8,8,16
sorry,10,6,16
man,10,6,16
wait,5,10,15
thought,4,11,15
birthday,2,13,15
wrong,7,7,14
witches,2,12,14
things,12,2,14
god,12,2,14
fun,1,13,14
ask,3,11,14
uh,1,12,13
true,8,5,13
talking,7,6,13
sweetheart,4,9,13
happen,10,3,13
fine,6,7,13
try,5,7,12
today,6,6,12
please,5,7,12
give,5,7,12
course,5,7,12
call,10,2,12
better,6,6,12
use,5,6,11
talk,8,3,11
party,1,10,11
miss,2,9,11
ladies,5,6,11
kind,6,5,11
big,6,5,11
believe,5,6,11
away,8,3,11
win,3,7,10
matter,5,5,10
keep,6,4,10
house,8,2,10
help,3,7,10
hear,4,6,10
having,5,5,10
eyes,9,1,10
easy,7,3,10
world,6,3,9
um,4,5,9
town,8,1,9
three,7,2,9
play,7,2,9
need,5,4,9
mind,6,3,9
looking,7,2,9
life,8,1,9
hmm,5,4,9
friends,4,5,9
different,2,7,9
car,1,8,9
understand,7,1,8
trying,6,2,8
terrible,7,1,8
strange,4,4,8
school,1,7,8
put,3,5,8
problem,3,5,8
people,6,2,8
open,6,2,8
new,5,3,8
morning,5,3,8
listen,2,6,8
home,4,4,8
guess,1,7,8
bad,3,5,8
trouble,2,5,7
track,1,6,7
told,5,2,7
thinking,4,3,7
sick,5,2,7
seen,2,5,7
power,2,5,7
night,2,5,7
mm,6,1,7
made,5,2,7
lot,2,5,7
kiss,2,5,7
kids,5,2,7
idea,1,6,7
guy,2,5,7
friend,1,6,7
face,1,6,7
came,3,4,7
anybody,6,1,7
actually,2,5,7
sweet,5,1,6
short,5,1,6
poor,5,1,6
place,4,2,6
passion,4,2,6
meet,5,1,6
makes,4,2,6
lunch,5,1,6
knows,4,2,6
kid,3,3,6
hello,4,2,6
heart,1,5,6
hard,5,1,6
happy,3,3,6
ha,3,3,6
guys,1,5,6
girls,5,1,6
full,2,4,6
four,5,1,6
feeling,4,2,6
excuse,3,3,6
dream,1,5,6
done,4,2,6
coming,3,3,6
bed,4,2,6
beautiful,2,4,6
asked,2,4,6
anymore,3,3,6
work,3,2,5
wish,2,3,5
week,4,1,5
used,2,3,5
trust,3,2,5
times,3,2,5
throw,2,3,5
supposed,2,3,5
sugar,4,1,5
stupid,3,2,5
starts,4,1,5
remember,3,2,5
promise,1,4,5
prince,3,2,5
point,1,4,5
music,4,1,5
looks,2,3,5
left,3,2,5
late,3,2,5
kidding,2,3,5
hurt,4,1,5
honey,4,1,5
high,1,4,5
happens,4,1,5
happening,3,2,5
handsome,3,2,5
five,4,1,5
cute,1,4,5
close,1,4,5
case,3,2,5
called,4,1,5
boy,1,4,5
bit,3,2,5
appreciate,4,1,5
ah,2,3,5
witchcraft,1,3,4
watch,1,3,4
wanted,2,2,4
waiting,2,2,4
tomorrow,3,1,4
surprise,2,2,4
stay,1,3,4
start,1,3,4
smile,2,2,4
shh,3,1,4
selling,3,1,4
room,1,3,4
relax,3,1,4
reason,1,3,4
ready,1,3,4
personal,1,3,4
perfect,1,3,4
ones,2,2,4
number,3,1,4
news,3,1,4
natural,3,1,4
making,2,2,4
lucky,2,2,4
looked,2,2,4
learn,1,3,4
knew,2,2,4
goes,1,3,4
gets,1,3,4
genius,1,3,4
free,1,3,4
found,1,3,4
forgot,2,2,4
fit,1,3,4
fish,3,1,4
feet,2,2,4
exactly,2,2,4
double,3,1,4
die,3,1,4
days,3,1,4
crazy,3,1,4
couple,3,1,4
comes,1,3,4
change,2,2,4
broad,3,1,4
boys,2,2,4
best,2,2,4
attention,2,2,4
worked,1,2,3
wind,1,2,3
went,2,1,3
truth,2,1,3
top,2,1,3
test,1,2,3
strangest,1,2,3
started,2,1,3
stand,2,1,3
sixteenth,1,2,3
serious,1,2,3
senior,1,2,3
send,1,2,3
seeing,2,1,3
running,1,2,3
quick,1,2,3
practice,2,1,3
pool,1,2,3
playing,2,1,3
pie,2,1,3
pick,2,1,3
paper,2,1,3
minutes,2,1,3
minute,2,1,3
lost,2,1,3
losing,1,2,3
lose,1,2,3
long,2,1,3
later,1,2,3
join,1,2,3
invited,1,2,3
hope,1,2,3
hold,2,1,3
history,2,1,3
heard,1,2,3
growing,2,1,3
gone,2,1,3
getting,2,1,3
funny,2,1,3
failure,2,1,3
especially,2,1,3
definitely,1,2,3
deep,2,1,3
considering,2,1,3
burn,2,1,3
ahead,2,1,3
young,1,1,2
weird,1,1,2
walk,1,1,2
using,1,1,2
twisted,1,1,2
trip,1,1,2
toes,1,1,2
throwing,1,1,2
thoughts,1,1,2
th,1,1,2
ten,1,1,2
telling,1,1,2
swear,1,1,2
supernatural,1,1,2
sent,1,1,2
sell,1,1,2
rest,1,1,2
question,1,1,2
positive,1,1,2
ow,1,1,2
old,1,1,2
nuts,1,1,2
nose,1,1,2
morn,1,1,2
months,1,1,2
mom,1,1,2
missing,1,1,2
misery,1,1,2
met,1,1,2
meant,1,1,2
matters,1,1,2
mad,1,1,2
loose,1,1,2
lives,1,1,2
lips,1,1,2
liked,1,1,2
lie,1,1,2
liar,1,1,2
leaves,1,1,2
leave,1,1,2
laugh,1,1,2
insult,1,1,2
honor,1,1,2
homework,1,1,2
held,1,1,2
hands,1,1,2
half,1,1,2
hair,1,1,2
gorgeous,1,1,2
glad,1,1,2
gentlemen,1,1,2
game,1,1,2
forget,1,1,2
flowers,1,1,2
find,1,1,2
far,1,1,2
fall,1,1,2
end,1,1,2
embarrassed,1,1,2
eaten,1,1,2
earthquakes,1,1,2
dry,1,1,2
drain,1,1,2
cut,1,1,2
count,1,1,2
cheap,1,1,2
charming,1,1,2
certainly,1,1,2
catch,1,1,2
calling,1,1,2
broke,1,1,2
breath,1,1,2
bread,1,1,2
borrow,1,1,2
beginning,1,1,2
act,1,1,2
absolutely,1,1,2
dont,69,0,69
im,40,0,40
thats,36,0,36
cant,29,0,29
youre,23,0,23
daryl,20,0,20
alex,20,0,20
women,17,0,17
lets,17,0,17
whats,15,0,15
jane,15,0,15
clyde,15,0,15
felicia,14,0,14
sukie,13,0,13
theyre,12,0,12
shes,12,0,12
hes,11,0,11
thank,10,0,10
name,10,0,10
isnt,10,0,10
men,9,0,9
tickle,8,0,8
pain,8,0,8
bought,8,0,8
van,7,0,7
doesnt,7,0,7
walter,6,0,6
husband,6,0,6
horne,6,0,6
faster,6,0,6
family,6,0,6
cream,6,0,6
arent,6,0,6
pregnant,5,0,5
mistakes,5,0,5
lenox,5,0,5
ive,5,0,5
ill,5,0,5
ice,5,0,5
hell,5,0,5
fuck,5,0,5
eat,5,0,5
eastwick,5,0,5
doctor,5,0,5
didnt,5,0,5
dead,5,0,5
care,5,0,5
afraid,5,0,5
youve,4,0,4
whores,4,0,4
theres,4,0,4
small,4,0,4
precision,4,0,4
nobodys,4,0,4
liberty,4,0,4
interview,4,0,4
interesting,4,0,4
inside,4,0,4
human,4,0,4
fidel,4,0,4
evil,4,0,4
divorce,4,0,4
disintegrating,4,0,4
devil,4,0,4
couldnt,4,0,4
chocolate,4,0,4
children,4,0,4
birds,4,0,4
answer,4,0,4
york,3,0,3
wouldnt,3,0,3
wont,3,0,3
wife,3,0,3
wash,3,0,3
upset,3,0,3
uhn,3,0,3
spofford,3,0,3
