word,Snow White and the Seven Dwarves,The Last WItch Hunter,total
maybe,5,1,6
killed,1,5,6
hide,5,1,6
gone,3,3,6
fly,3,3,6
fine,5,1,6
drink,2,4,6
care,2,4,6
call,2,4,6
black,3,3,6
worry,2,3,5
turned,1,4,5
thanks,4,1,5
red,2,3,5
made,2,3,5
knows,2,3,5
kind,1,4,5
hell,3,2,5
found,1,4,5
doesnt,2,3,5
dark,1,4,5
children,4,1,5
careful,3,2,5
youd,1,3,4
women,2,2,4
understand,1,3,4
try,2,2,4
theyve,3,1,4
talk,3,1,4
skin,2,2,4
share,3,1,4
save,2,2,4
ready,1,3,4
quite,3,1,4
pig,3,1,4
pick,3,1,4
past,1,3,4
nice,2,2,4
names,2,2,4
mother,2,2,4
live,1,3,4
listen,1,3,4
lies,2,2,4
knew,1,3,4
id,2,2,4
head,1,3,4
hand,2,2,4
guess,3,1,4
feel,3,1,4
far,2,2,4
face,2,2,4
eyes,1,3,4
comes,2,2,4
cold,3,1,4
close,2,2,4
chance,2,2,4
brought,1,3,4
alive,2,2,4
whos,2,1,3
wet,2,1,3
use,2,1,3
turn,1,2,3
three,1,2,3
show,1,2,3
shall,2,1,3
set,1,2,3
possessed,2,1,3
monster,2,1,3
mix,1,2,3
meet,2,1,3
loud,2,1,3
lost,2,1,3
inside,1,2,3
imagine,1,2,3
hear,2,1,3
hair,2,1,3
ground,1,2,3
goes,1,2,3
feet,1,2,3
fear,1,2,3
fall,1,2,3
fail,2,1,3
eye,2,1,3
change,1,2,3
carry,1,2,3
buried,2,1,3
bring,1,2,3
breath,2,1,3
break,1,2,3
blood,2,1,3
best,1,2,3
begin,1,2,3
arent,1,2,3
worst,1,1,2
worse,1,1,2
witchs,1,1,2
wanna,1,1,2
walk,1,1,2
trouble,1,1,2
tonight,1,1,2
surprised,1,1,2
stuff,1,1,2
strong,1,1,2
started,1,1,2
standing,1,1,2
stand,1,1,2
sign,1,1,2
rich,1,1,2
reveal,1,1,2
rest,1,1,2
