word,The Craft,Pumpkinhead,total
nancy,0,21,21
maybe,0,15,15
manon,0,10,10
invoke,0,10,10
harm,0,10,10
light,0,9,9
hi,0,9,9
witch,0,8,8
watchtowers,0,8,8
understand,0,8,8
three,0,8,8
saying,0,8,8
magic,0,8,8
laura,0,8,8
guardians,0,8,8
feel,0,8,8
working,0,7,7
times,0,7,7
talking,0,7,7
looking,0,7,7
bonnie,0,7,7
trying,0,6,6
pathetic,0,6,6
north,0,6,6
hate,0,6,6
fourth,0,6,6
earth,0,6,6
dad,0,6,6
circle,0,6,6
beautiful,0,6,6
touch,0,5,5
spell,0,5,5
second,0,5,5
rochelle,0,5,5
read,0,5,5
paranoid,0,5,5
mother,0,5,5
money,0,5,5
matter,0,5,5
happen,0,5,5
hair,0,5,5
francis,0,5,5
finger,0,5,5
connie,0,5,5
bitch,0,5,5
air,0,5,5
whos,0,4,4
weak,0,4,4
water,0,4,4
try,0,4,4
tricky,0,4,4
thinking,0,4,4
supposed,0,4,4
stuff,0,4,4
sisters,0,4,4
school,0,4,4
scars,0,4,4
san,0,4,4
red,0,4,4
practice,0,4,4
perfect,0,4,4
makes,0,4,4
lights,0,4,4
getting,0,4,4
francisco,0,4,4
football,0,4,4
five,0,4,4
fire,0,4,4
feather,0,4,4
eyes,0,4,4
enter,0,4,4
end,0,4,4
drink,0,4,4
couch,0,4,4
coming,0,4,4
bye,0,4,4
book,0,4,4
board,0,4,4
bind,0,4,4
ass,0,4,4
ask,0,4,4
arent,0,4,4
actually,0,4,4
white,0,3,3
west,0,3,3
tv,0,3,3
true,0,3,3
surprised,0,3,3
stiff,0,3,3
spirit,0,3,3
spells,0,3,3
south,0,3,3
serpent,0,3,3
room,0,3,3
remember,0,3,3
relax,0,3,3
reason,0,3,3
ray,0,3,3
night,0,3,3
new,0,3,3
nature,0,3,3
natural,0,3,3
looks,0,3,3
jealous,0,3,3
hows,0,3,3
heavy,0,3,3
heads,0,3,3
having,0,3,3
hang,0,3,3
glamour,0,3,3
gave,0,3,3
funny,0,3,3
flying,0,3,3
exist,0,3,3
everybody,0,3,3
east,0,3,3
downs,0,3,3
cry,0,3,3
corners,0,3,3
completely,0,3,3
butt,0,3,3
body,0,3,3
blonde,0,3,3
bill,0,3,3
bigger,0,3,3
balance,0,3,3
apartment,0,3,3
youd,0,2,2
worked,0,2,2
witches,0,2,2
win,0,2,2
whyd,0,2,2
weirdos,0,2,2
ways,0,2,2
walk,0,2,2
waiting,0,2,2
usually,0,2,2
unto,0,2,2
uniform,0,2,2
undo,0,2,2
underneath,0,2,2
twenty,0,2,2
turn,0,2,2
truth,0,2,2
trust,0,2,2
tomorrow,0,2,2
throwing,0,2,2
takes,0,2,2
surprise,0,2,2
sucks,0,2,2
storm,0,2,2
steal,0,2,2
started,0,2,2
slut,0,2,2
slit,0,2,2
size,0,2,2
shall,0,2,2
seen,0,2,2
scary,0,2,2
salon,0,2,2
rush,0,2,2
rub,0,2,2
roof,0,2,2
rochelles,0,2,2
results,0,2,2
relaxed,0,2,2
reach,0,2,2
ran,0,2,2
procedure,0,2,2
policy,0,2,2
plane,0,2,2
peace,0,2,2
party,0,2,2
noninvasive,0,2,2
needle,0,2,2
mine,0,2,2
middle,0,2,2
loved,0,2,2
lot,0,2,2
learn,0,2,2
later,0,2,2
laid,0,2,2
keeps,0,2,2
juke,0,2,2
joke,0,2,2
jenny,0,2,2
isnt,0,2,2
impressed,0,2,2
id,0,2,2
hundred,0,2,2
howd,0,2,2
hour,0,2,2
hot,0,2,2
hooker,0,2,2
havent,0,2,2
hard,0,2,2
hanging,0,2,2
green,0,2,2
glory,0,2,2
form,0,2,2
fly,0,2,2
fingers,0,2,2
feeling,0,2,2
fear,0,2,2
fall,0,2,2
experience,0,2,2
especially,0,2,2
dreams,0,2,2
dream,0,2,2
discount,0,2,2
dinner,0,2,2
definitely,0,2,2
deal,0,2,2
days,0,2,2
darling,0,2,2
concentrate,0,2,2
calm,0,2,2
busy,0,2,2
box,0,2,2
blessed,0,2,2
bleeding,0,2,2
blade,0,2,2
apologize,0,2,2
anyway,0,2,2
amazing,0,2,2
writing,0,1,1
write,0,1,1
wrists,0,1,1
wreckage,0,1,1
wrap,0,1,1
wow,0,1,1
worship,0,1,1
world,0,1,1
wondering,0,1,1
wonderful,0,1,1
wonder,0,1,1
women,0,1,1
wish,0,1,1
wise,0,1,1
wind,0,1,1
wick,0,1,1
whores,0,1,1
whore,0,1,1
wholeness,0,1,1
whered,0,1,1
week,0,1,1
watching,0,1,1
warranties,0,1,1
warming,0,1,1
waah,0,1,1
voice,0,1,1
view,0,1,1
veins,0,1,1
upstairs,0,1,1
upright,0,1,1
unofficially,0,1,1
unleash,0,1,1
undoing,0,1,1
two,0,1,1
turns,0,1,1
turned,0,1,1
trip,0,1,1
treys,0,1,1
tremendous,0,1,1
trees,0,1,1
treating,0,1,1
treat,0,1,1
travel,0,1,1
