word,The Craft,Skeleton Key,total
dont,63,36,99
know,57,34,91
go,44,18,62
want,34,21,55
like,36,12,48
think,30,13,43
oh,31,9,40
come,30,8,38
house,3,34,37
good,23,14,37
look,27,8,35
stop,23,10,33
right,23,10,33
really,26,4,30
believe,6,23,29
see,17,10,27
didnt,19,8,27
sorry,25,1,26
god,20,6,26
need,14,10,24
please,20,3,23
going,22,1,23
yes,8,14,22
maybe,15,7,22
help,5,17,22
wait,16,5,21
make,10,11,21
doesnt,6,15,21
back,17,3,20
understand,8,11,19
thought,9,10,19
room,3,16,19
shit,13,5,18
time,5,12,17
take,9,8,17
mean,16,1,17
tell,9,7,16
night,3,13,16
lot,2,13,15
little,14,1,15
leave,5,10,15
way,11,3,14
things,6,8,14
power,12,2,14
people,8,6,14
hear,8,6,14
head,12,2,14
feel,8,6,14
better,6,8,14
thing,7,6,13
sure,7,6,13
man,6,7,13
made,5,8,13
love,11,2,13
hi,9,4,13
somebody,3,9,12
magic,8,4,12
home,9,3,12
give,6,6,12
afraid,3,9,12
wont,1,10,11
wanted,4,7,11
speak,1,10,11
soon,1,10,11
mrs,1,10,11
light,9,2,11
kill,6,5,11
happen,5,6,11
found,2,9,11
close,3,8,11
second,5,5,10
saying,8,2,10
pay,7,3,10
mother,5,5,10
life,6,4,10
door,1,9,10
doing,8,2,10
child,1,9,10
away,8,2,10
witch,8,1,9
water,4,5,9
show,3,6,9
real,5,4,9
hello,4,5,9
happened,7,2,9
gave,3,6,9
forget,4,5,9
enter,4,5,9
call,6,3,9
wrong,5,3,8
working,7,1,8
times,7,1,8
old,2,6,8
new,3,5,8
makes,4,4,8
knows,1,7,8
hair,5,3,8
girl,6,2,8
find,3,5,8
excuse,1,7,8
came,3,5,8
work,3,4,7
try,4,3,7
touch,5,2,7
told,5,2,7
thank,3,4,7
put,6,1,7
place,4,3,7
open,2,5,7
mr,2,5,7
move,4,3,7
mine,2,5,7
mind,4,3,7
matter,5,2,7
listen,6,1,7
killed,6,1,7
hurt,2,5,7
heard,2,5,7
goes,2,5,7
difficult,1,6,7
circle,6,1,7
big,6,1,7
bad,6,1,7
use,3,3,6
today,3,3,6
saw,2,4,6
ready,3,3,6
read,5,1,6
money,5,1,6
leaves,1,5,6
lady,1,5,6
keep,5,1,6
jesus,3,3,6
inside,5,1,6
hell,4,2,6
happening,3,3,6
friends,4,2,6
bye,4,2,6
book,4,2,6
ask,4,2,6
actually,4,2,6
waiting,2,3,5
talk,4,1,5
sit,4,1,5
seen,2,3,5
seeing,1,4,5
rain,1,4,5
play,2,3,5
leaving,1,4,5
hour,2,3,5
fire,4,1,5
father,2,3,5
far,2,3,5
fall,2,3,5
exactly,1,4,5
drink,4,1,5
dinner,2,3,5
died,1,4,5
crazy,3,2,5
coming,4,1,5
care,1,4,5
car,3,2,5
black,3,2,5
ago,1,4,5
walk,2,2,4
used,2,2,4
turn,2,2,4
true,3,1,4
tried,2,2,4
tomorrow,2,2,4
spirit,3,1,4
south,3,1,4
sleep,2,2,4
side,1,3,4
remember,3,1,4
personal,1,3,4
party,2,2,4
nature,3,1,4
mirror,1,3,4
looks,3,1,4
long,1,3,4
idea,1,3,4
having,3,1,4
grace,1,3,4
funny,3,1,4
exist,3,1,4
devil,3,1,4
days,2,2,4
day,3,1,4
comes,3,1,4
carry,1,3,4
called,3,1,4
bill,3,1,4
anybody,1,3,4
writing,1,2,3
two,1,2,3
truth,2,1,3
trust,2,1,3
takes,2,1,3
sucks,2,1,3
storm,2,1,3
sell,1,2,3
respect,1,2,3
reach,2,1,3
poor,1,2,3
playing,1,2,3
played,1,2,3
phone,2,1,3
person,1,2,3
ones,1,2,3
needs,1,2,3
morning,1,2,3
loved,2,1,3
later,2,1,3
important,1,2,3
hot,2,1,3
happy,1,2,3
full,1,2,3
fear,2,1,3
fault,1,2,3
especially,2,1,3
dreams,2,1,3
dollars,1,2,3
cruel,1,2,3
company,1,2,3
city,1,2,3
calm,2,1,3
buy,1,2,3
box,2,1,3
world,1,1,2
