word,The Craft,Little Mermaid,total
dont,63,39,102
know,57,35,92
im,56,30,86
oh,31,47,78
go,44,22,66
come,30,26,56
look,27,27,54
like,36,17,53
yeah,42,9,51
youre,31,18,49
want,34,11,45
think,30,13,43
see,17,26,43
right,23,18,41
really,26,13,39
little,14,25,39
ill,16,21,37
thats,26,9,35
shes,20,15,35
whats,24,9,33
girl,6,27,33
back,17,16,33
sorry,25,7,32
sea,1,31,32
going,22,10,32
la,1,30,31
love,11,19,30
cant,18,12,30
stop,23,5,28
gonna,15,13,28
please,20,7,27
hes,17,10,27
good,23,4,27
didnt,19,7,26
away,8,18,26
yes,8,17,25
okay,21,4,25
make,10,14,24
mean,16,6,22
ive,5,17,22
way,11,10,21
god,20,1,21
tell,9,11,20
looking,7,13,20
day,3,17,20
gotta,5,14,19
wait,16,2,18
maybe,15,3,18
head,12,6,18
voice,1,16,17
take,9,8,17
need,14,3,17
time,5,11,16
better,6,10,16
witch,8,7,15
theyre,11,4,15
poor,1,14,15
home,9,6,15
help,5,10,15
hear,8,7,15
stay,6,8,14
power,12,2,14
great,5,9,14
thing,7,6,13
life,6,7,13
lets,9,4,13
give,6,7,13
youve,1,11,12
world,1,11,12
understand,8,4,12
thought,9,3,12
sure,7,5,12
pay,7,5,12
nice,9,3,12
doing,8,4,12
big,6,6,12
bad,6,6,12
youll,2,9,11
watch,6,5,11
true,3,8,11
three,8,3,11
things,6,5,11
powers,10,1,11
people,8,3,11
man,6,5,11
listen,6,5,11
leave,5,6,11
fine,8,3,11
sun,1,9,10
run,4,6,10
play,2,8,10
magic,8,2,10
light,9,1,10
keep,5,5,10
isnt,2,8,10
inside,5,5,10
happened,7,3,10
girls,9,1,10
find,3,7,10
boy,1,9,10
beautiful,6,4,10
times,7,2,9
talking,7,2,9
room,3,6,9
miss,1,8,9
honey,8,1,9
feel,8,1,9
doesnt,6,3,9
cause,5,4,9
wrong,5,3,8
working,7,1,8
water,4,4,8
wanna,2,6,8
try,4,4,8
theres,4,4,8
spell,5,3,8
shark,1,7,8
seen,2,6,8
put,6,2,8
pretty,5,3,8
move,4,4,8
makes,4,4,8
looks,3,5,8
kill,6,2,8
huh,2,6,8
hit,6,2,8
havent,2,6,8
hair,5,3,8
goes,2,6,8
flying,3,5,8
course,3,5,8
child,1,7,8
aint,2,6,8
wouldnt,1,6,7
wonderful,1,6,7
whoa,1,6,7
watching,1,6,7
sweet,2,5,7
stuff,4,3,7
scared,4,3,7
real,5,2,7
pathetic,6,1,7
part,1,6,7
made,5,2,7
lot,2,5,7
live,1,6,7
hold,6,1,7
getting,4,3,7
father,2,5,7
face,1,6,7
eyes,4,3,7
end,4,3,7
earth,6,1,7
deal,2,5,7
dead,5,2,7
daughter,1,6,7
completely,3,4,7
close,3,4,7
call,6,1,7
believe,6,1,7
wont,1,5,6
wish,1,5,6
whos,4,2,6
wanted,4,2,6
uh,1,5,6
turn,2,4,6
told,5,1,6
thank,3,3,6
sisters,4,2,6
show,3,3,6
place,4,2,6
pipe,1,5,6
outside,2,4,6
morning,1,5,6
mine,2,4,6
long,1,5,6
late,3,3,6
lady,1,5,6
happen,5,1,6
guess,3,3,6
fire,4,2,6
couldnt,2,4,6
board,4,2,6
ask,4,2,6
air,5,1,6
work,3,2,5
woman,1,4,5
warm,2,3,5
walk,2,3,5
use,3,2,5
talk,4,1,5
soon,1,4,5
somebody,3,2,5
sit,4,1,5
shell,1,4,5
seeing,1,4,5
sad,1,4,5
ready,3,2,5
ray,3,2,5
playing,1,4,5
perfect,4,1,5
new,3,2,5
mind,4,1,5
leaves,1,4,5
knows,1,4,5
id,2,3,5
hmm,1,4,5
hey,1,4,5
hell,4,1,5
heard,2,3,5
hard,2,3,5
happy,1,4,5
hang,3,2,5
found,2,3,5
forget,4,1,5
five,4,1,5
far,2,3,5
fall,2,3,5
drink,4,1,5
days,2,3,5
coming,4,1,5
comes,3,2,5
wow,1,3,4
weve,2,2,4
tried,2,2,4
tomorrow,2,2,4
today,3,1,4
storm,2,2,4
starts,1,3,4
spirit,3,1,4
spells,3,1,4
special,2,2,4
song,1,3,4
side,1,3,4
rock,1,3,4
relax,3,1,4
passes,1,3,4
old,2,2,4
night,3,1,4
mood,1,3,4
hurt,2,2,4
hot,2,2,4
heads,3,1,4
happening,3,1,4
feeling,2,2,4
exist,3,1,4
dream,2,2,4
dinner,2,2,4
crazy,3,1,4
came,3,1,4
called,3,1,4
body,3,1,4
bigger,3,1,4
ahead,1,3,4
afraid,3,1,4
youd,2,1,3
wind,1,2,3
ways,2,1,3
used,2,1,3
two,1,2,3
twenty,2,1,3
turns,1,2,3
truth,2,1,3
tonight,2,1,3
thanks,2,1,3
takes,2,1,3
straight,2,1,3
start,1,2,3
speak,1,2,3
somethin,1,2,3
sleep,2,1,3
sister,1,2,3
shy,1,2,3
shall,2,1,3
set,1,2,3
saw,2,1,3
safe,1,2,3
ruler,1,2,3
rub,2,1,3
quiet,1,2,3
possible,1,2,3
party,2,1,3
noticed,1,2,3
monster,1,2,3
mirror,1,2,3
minute,2,1,3
middle,2,1,3
luck,1,2,3
later,2,1,3
kitchen,1,2,3
kissing,1,2,3
impressed,2,1,3
idea,1,2,3
hand,2,1,3
gotcha,1,2,3
full,1,2,3
fool,1,2,3
especially,2,1,3
eat,1,2,3
dreams,2,1,3
definitely,2,1,3
darling,2,1,3
crash,1,2,3
careful,1,2,3
calm,2,1,3
busy,2,1,3
bet,1,2,3
bag,1,2,3
attention,1,2,3
animals,1,2,3
accident,2,1,3
writing,1,1,2
wonder,1,1,2
women,1,1,2
wasnt,1,1,2
undoing,1,1,2
turned,1,1,2
travel,1,1,2
tempting,1,1,2
surround,1,1,2
strong,1,1,2
stare,1,1,2
snail,1,1,2
sharp,1,1,2
save,1,1,2
rushed,1,1,2
rude,1,1,2
rocks,1,1,2
rest,1,1,2
relieved,1,1,2
questions,1,1,2
pulled,1,1,2
price,1,1,2
plays,1,1,2
plan,1,1,2
pass,1,1,2
ones,1,1,2
news,1,1,2
needs,1,1,2
nasty,1,1,2
message,1,1,2
magical,1,1,2
mad,1,1,2
looked,1,1,2
itll,1,1,2
invented,1,1,2
important,1,1,2
imagine,1,1,2
humiliating,1,1,2
higher,1,1,2
hairy,1,1,2
feet,1,1,2
fault,1,1,2
fathers,1,1,2
expect,1,1,2
doin,1,1,2
different,1,1,2
died,1,1,2
de,1,1,2
dark,1,1,2
dangerous,1,1,2
cool,1,1,2
