word,The Witches of Eastwick,The Black Cauldron,total
oh,19,88,107
dont,69,31,100
yes,29,43,72
im,40,29,69
see,29,39,68
know,50,14,64
look,19,39,58
come,29,25,54
like,32,20,52
thats,36,12,48
go,26,22,48
away,8,40,48
little,28,19,47
back,11,33,44
youre,23,20,43
looks,2,40,42
ha,3,39,42
want,31,10,41
going,18,20,38
cant,29,8,37
right,22,14,36
good,21,15,36
think,28,7,35
hes,11,24,35
make,21,13,34
black,1,28,29
sees,1,27,28
take,15,11,26
stop,14,12,26
whats,15,10,25
boy,1,23,24
way,7,16,23
lets,17,5,22
uh,1,20,21
time,16,5,21
hand,2,18,20
great,5,15,20
doing,13,6,19
women,17,1,18
give,5,13,18
trying,6,11,17
theyre,12,5,17
thank,10,7,17
love,15,2,17
life,8,9,17
ill,5,12,17
sure,8,8,16
mean,5,11,16
evil,4,12,16
things,12,3,15
small,4,11,15
shes,12,3,15
place,4,11,15
keep,6,9,15
ive,5,10,15
feel,14,1,15
thing,6,8,14
sorry,10,4,14
somebody,13,1,14
seen,2,12,14
really,11,3,14
nice,9,5,14
isnt,10,4,14
find,1,13,14
eyes,9,5,14
better,6,8,14
wait,5,8,13
poor,5,8,13
please,5,8,13
made,5,8,13
looking,7,6,13
gone,2,11,13
god,12,1,13
fault,3,10,13
three,7,5,12
open,6,6,12
mind,6,6,12
man,10,2,12
day,9,3,12
afraid,5,7,12
youll,2,9,11
wrong,7,4,11
tell,4,7,11
name,10,1,11
men,9,2,11
fair,3,8,11
didnt,5,6,11
comes,1,10,11
call,10,1,11
arent,6,5,11
youve,4,6,10
use,5,5,10
two,8,2,10
true,8,2,10
trouble,2,8,10
thought,4,6,10
starts,4,6,10
people,6,4,10
ladies,5,5,10
help,3,7,10
hell,5,5,10
friends,4,6,10
coming,3,7,10
big,6,4,10
wont,3,6,9
witches,2,7,9
understand,7,2,9
talk,8,1,9
room,1,8,9
pain,8,1,9
old,1,8,9
maybe,6,3,9
holds,1,8,9
hold,2,7,9
heh,1,8,9
hear,4,5,9
friend,1,8,9
eat,5,4,9
doesnt,7,2,9
course,5,4,9
breaks,1,8,9
believe,5,4,9
world,6,2,8
walk,1,7,8
visions,2,6,8
today,6,2,8
theres,4,4,8
terrible,7,1,8
talking,7,1,8
power,2,6,8
lost,2,6,8
inside,4,4,8
hurt,4,4,8
huge,3,5,8
hmm,5,3,8
hello,4,4,8
head,3,5,8
hard,5,3,8
hands,1,7,8
gets,1,7,8
face,1,7,8
easy,7,1,8
dead,5,3,8
ah,2,6,8
work,3,4,7
waiting,2,5,7
try,5,2,7
thinking,4,3,7
seeing,2,5,7
remember,3,4,7
quick,1,6,7
meet,5,2,7
matter,5,2,7
makes,4,3,7
left,3,4,7
id,3,4,7
holding,1,6,7
goodbye,1,6,7
free,1,6,7
disappear,3,4,7
close,1,6,7
care,5,2,7
body,1,6,7
watch,1,5,6
wanted,2,4,6
top,2,4,6
told,5,1,6
short,5,1,6
running,1,5,6
put,3,3,6
new,5,1,6
need,5,1,6
mistakes,5,1,6
kids,5,1,6
hope,1,5,6
home,4,2,6
hole,1,5,6
handsome,3,3,6
flies,1,5,6
filled,1,5,6
feeling,4,2,6
end,1,5,6
done,4,2,6
die,3,3,6
chance,1,5,6
bring,1,5,6
young,1,4,5
wouldnt,3,2,5
words,2,3,5
word,2,3,5
wind,1,4,5
weve,1,4,5
strange,4,1,5
sit,3,2,5
ready,1,4,5
prince,3,2,5
music,4,1,5
missing,1,4,5
making,2,3,5
lord,2,3,5
lives,1,4,5
laugh,1,4,5
knows,4,1,5
interesting,4,1,5
ho,1,4,5
hat,1,4,5
happens,4,1,5
fear,1,4,5
fall,1,4,5
devil,4,1,5
couldnt,4,1,5
case,3,2,5
called,4,1,5
bit,3,2,5
birds,4,1,5
ask,3,2,5
admit,3,2,5
youd,1,3,4
werent,1,3,4
warn,2,2,4
trust,3,1,4
touch,1,3,4
throw,2,2,4
supposed,2,2,4
strong,2,2,4
store,2,2,4
realize,2,2,4
problem,3,1,4
pieces,2,2,4
perfect,1,3,4
news,3,1,4
murder,2,2,4
million,2,2,4
long,2,2,4
listen,2,2,4
leave,1,3,4
late,3,1,4
knew,2,2,4
idea,1,3,4
held,1,3,4
heart,1,3,4
happy,3,1,4
hair,1,3,4
goodness,2,2,4
forever,2,2,4
fix,1,3,4
finished,1,3,4
feet,2,2,4
feed,3,1,4
excuse,3,1,4
exactly,2,2,4
drink,2,2,4
different,2,2,4
destroy,1,3,4
darling,3,1,4
crazy,3,1,4
business,3,1,4
best,2,2,4
bad,3,1,4
attention,2,2,4
anymore,3,1,4
ahead,2,2,4
wish,2,1,3
war,2,1,3
truth,2,1,3
thoughts,1,2,3
telling,1,2,3
stopped,1,2,3
stay,1,2,3
start,1,2,3
standing,2,1,3
stand,2,1,3
snap,1,2,3
smile,2,1,3
size,2,1,3
single,2,1,3
send,1,2,3
scene,1,2,3
rest,1,2,3
past,1,2,3
pass,2,1,3
noise,1,2,3
night,2,1,3
mistake,2,1,3
miserable,1,2,3
minute,2,1,3
middle,2,1,3
mad,1,2,3
lucky,2,1,3
lie,1,2,3
kiss,2,1,3
kill,1,2,3
horns,1,2,3
hiding,1,2,3
heard,1,2,3
havent,1,2,3
half,1,2,3
hadnt,1,2,3
getting,2,1,3
future,2,1,3
funny,2,1,3
full,2,1,3
found,1,2,3
forget,1,2,3
final,1,2,3
fat,1,2,3
failure,2,1,3
especially,2,1,3
dream,1,2,3
drawn,1,2,3
deal,2,1,3
dark,2,1,3
curse,2,1,3
created,1,2,3
ceiling,1,2,3
calm,1,2,3
broke,1,2,3
brings,1,2,3
boys,2,1,3
bowing,2,1,3
bother,2,1,3
beautiful,2,1,3
asked,2,1,3
yoo,1,1,2
wed,1,1,2
wars,1,1,2
using,1,1,2
trip,1,1,2
trick,1,1,2
tied,1,1,2
th,1,1,2
taking,1,1,2
taken,1,1,2
swine,1,1,2
suppose,1,1,2
sucks,1,1,2
sleep,1,1,2
sending,1,1,2
promise,1,1,2
pretending,1,1,2
point,1,1,2
piece,1,1,2
owned,1,1,2
ow,1,1,2
nervous,1,1,2
moving,1,1,2
lovely,1,1,2
legs,1,1,2
leaves,1,1,2
learn,1,1,2
knowing,1,1,2
keeps,1,1,2
image,1,1,2
hoo,1,1,2
high,1,1,2
heres,1,1,2
heads,1,1,2
grabbing,1,1,2
goes,1,1,2
glad,1,1,2
game,1,1,2
fled,1,1,2
fill,1,1,2
fight,1,1,2
exchange,1,1,2
eaten,1,1,2
easily,1,1,2
duh,1,1,2
drop,1,1,2
dressed,1,1,2
death,1,1,2
dealing,1,1,2
cute,1,1,2
cooking,1,1,2
clothed,1,1,2
chasing,1,1,2
charming,1,1,2
catch,1,1,2
calling,1,1,2
burned,1,1,2
broken,1,1,2
breath,1,1,2
blood,1,1,2
blind,1,1,2
bits,1,1,2
beginning,1,1,2
artist,1,1,2
adore,1,1,2
absolutely,1,1,2
daryl,20,0,20
alex,20,0,20
okay,16,0,16
woman,15,0,15
jane,15,0,15
clyde,15,0,15
felicia,14,0,14
sukie,13,0,13
yeah,10,0,10
happen,10,0,10
town,8,0,8
tickle,8,0,8
house,8,0,8
bought,8,0,8
van,7,0,7
play,7,0,7
walter,6,0,6
mm,6,0,6
kind,6,0,6
husband,6,0,6
horne,6,0,6
hi,6,0,6
fine,6,0,6
faster,6,0,6
family,6,0,6
cream,6,0,6
anybody,6,0,6
sweet,5,0,5
sick,5,0,5
pregnant,5,0,5
morning,5,0,5
lunch,5,0,5
lenox,5,0,5
ice,5,0,5
huh,5,0,5
having,5,0,5
girls,5,0,5
fuck,5,0,5
four,5,0,5
eastwick,5,0,5
doctor,5,0,5
whores,4,0,4
week,4,0,4
um,4,0,4
sweetheart,4,0,4
sugar,4,0,4
precision,4,0,4
passion,4,0,4
nobodys,4,0,4
liberty,4,0,4
interview,4,0,4
human,4,0,4
honey,4,0,4
five,4,0,4
fidel,4,0,4
divorce,4,0,4
disintegrating,4,0,4
chocolate,4,0,4
children,4,0,4
bed,4,0,4
appreciate,4,0,4
answer,4,0,4
york,3,0,3
win,3,0,3
wife,3,0,3
wash,3,0,3
upset,3,0,3
uhn,3,0,3
tomorrow,3,0,3
times,3,0,3
stupid,3,0,3
spofford,3,0,3
snowy,3,0,3
six,3,0,3
shut,3,0,3
shit,3,0,3
shh,3,0,3
