word,The Craft,Into the Woods,total
im,56,67,123
dont,63,55,118
know,57,50,107
go,44,58,102
youre,31,55,86
oh,31,49,80
want,34,27,61
right,23,38,61
yes,8,52,60
come,30,28,58
yeah,42,15,57
look,27,29,56
like,36,20,56
cow,1,55,56
back,17,39,56
see,17,38,55
good,23,30,53
going,22,29,51
wish,1,48,49
wait,16,31,47
think,30,17,47
little,14,29,43
whats,24,16,40
stop,23,17,40
mother,5,35,40
way,11,28,39
sorry,25,14,39
thats,26,11,37
take,9,27,36
need,14,22,36
really,26,9,35
okay,21,14,35
didnt,19,15,34
cant,18,16,34
please,20,13,33
ill,16,17,33
hes,17,15,32
away,8,24,32
shes,20,11,31
make,10,20,30
house,3,25,28
home,9,19,28
things,6,21,27
nice,9,18,27
find,3,24,27
time,5,21,26
theres,4,21,25
girl,6,19,25
child,1,24,25
tell,9,15,24
give,6,18,24
five,4,20,24
two,1,22,23
three,8,15,23
mean,16,7,23
maybe,15,8,23
god,20,3,23
spell,5,17,22
hair,5,17,22
doing,8,14,22
youll,2,18,20
beautiful,6,14,20
stay,6,13,19
magic,8,11,19
made,5,14,19
love,11,8,19
leave,5,14,19
ive,5,14,19
help,5,14,19
gonna,15,4,19
father,2,17,19
big,6,13,19
thought,9,9,18
life,6,12,18
hello,4,14,18
fault,1,17,18
careful,1,17,18
boy,1,17,18
youve,1,16,17
witch,8,9,17
weve,2,15,17
theyre,11,6,17
sure,7,10,17
listen,6,11,17
feel,8,9,17
course,3,14,17
thing,7,9,16
thank,3,13,16
place,4,12,16
light,9,7,16
head,12,4,16
fine,8,7,15
dead,5,10,15
wrong,5,9,14
world,1,13,14
red,4,10,14
lets,9,5,14
bring,1,13,14
understand,8,5,13
true,3,10,13
sell,1,12,13
run,4,9,13
power,12,1,13
people,8,5,13
matter,5,8,13
girls,9,4,13
doesnt,6,7,13
day,3,10,13
better,6,7,13
white,3,9,12
takes,2,10,12
mr,2,10,12
kind,2,10,12
isnt,2,10,12
darling,2,10,12
believe,6,6,12
trying,6,5,11
money,5,6,11
mind,4,7,11
looking,7,4,11
hold,6,5,11
harm,10,1,11
happened,7,4,11
care,1,10,11
scared,4,6,10
pay,7,3,10
night,3,7,10
learn,2,8,10
killed,6,4,10
hear,8,2,10
four,1,9,10
found,2,8,10
cause,5,5,10
came,3,7,10
bad,6,4,10
working,7,2,9
told,5,4,9
times,7,2,9
talking,7,2,9
show,3,6,9
seen,2,7,9
second,5,4,9
saying,8,1,9
safe,1,8,9
miss,1,8,9
minute,2,7,9
kill,6,3,9
gone,3,6,9
end,4,5,9
arent,4,5,9
watch,6,2,8
wanted,4,4,8
touch,5,3,8
side,1,7,8
shell,1,7,8
remember,3,5,8
ran,2,6,8
pieces,1,7,8
man,6,2,8
makes,4,4,8
live,1,7,8
keep,5,3,8
hate,6,2,8
getting,4,4,8
eyes,4,4,8
dark,1,7,8
comes,3,5,8
baby,2,6,8
youd,2,5,7
wouldnt,1,6,7
woman,1,6,7
waiting,2,5,7
thinking,4,3,7
supposed,4,3,7
straight,2,5,7
put,6,1,7
old,2,5,7
mine,2,5,7
inside,5,2,7
id,2,5,7
happen,5,2,7
great,5,2,7
gave,3,4,7
fourth,6,1,7
forget,4,3,7
fear,2,5,7
far,2,5,7
earth,6,1,7
call,6,1,7
ask,4,3,7
actually,4,3,7
wasnt,1,5,6
trees,1,5,6
talk,4,2,6
sit,4,2,6
shall,2,4,6
real,5,1,6
ready,3,3,6
pretty,5,1,6
perfect,4,2,6
move,4,2,6
lot,2,4,6
lay,1,5,6
known,1,5,6
hell,4,2,6
heart,3,3,6
heard,2,4,6
havent,2,4,6
guess,3,3,6
everybody,3,3,6
different,1,5,6
coming,4,2,6
calm,2,4,6
buy,1,5,6
attention,1,5,6
air,5,1,6
wont,1,4,5
witches,2,3,5
whos,4,1,5
walk,2,3,5
use,3,2,5
uh,1,4,5
turn,2,3,5
try,4,1,5
tonight,2,3,5
tomorrow,2,3,5
stuff,4,1,5
story,1,4,5
steal,2,3,5
soon,1,4,5
somebody,3,2,5
scary,2,3,5
running,1,4,5
reach,2,3,5
pick,1,4,5
mothers,1,4,5
leaving,1,4,5
leaves,1,4,5
late,3,2,5
lady,1,4,5
knows,1,4,5
hour,2,3,5
high,1,4,5
hey,1,4,5
given,1,4,5
friends,4,1,5
food,1,4,5
fathers,1,4,5
door,1,4,5
died,1,4,5
deep,3,2,5
close,3,2,5
clear,1,4,5
afraid,3,2,5
work,3,1,4
whoa,1,3,4
today,3,1,4
thanks,2,2,4
taking,1,3,4
surprised,3,1,4
surprise,2,2,4
start,1,3,4
spells,3,1,4
roof,2,2,4
rest,1,3,4
reason,3,1,4
quiet,1,3,4
open,2,2,4
new,3,1,4
moon,1,3,4
middle,2,2,4
long,1,3,4
lie,1,3,4
laid,2,2,4
heads,3,1,4
having,3,1,4
happy,1,3,4
happening,3,1,4
half,1,3,4
fun,1,3,4
full,1,3,4
fool,1,3,4
fall,2,2,4
face,1,3,4
especially,2,2,4
east,3,1,4
days,2,2,4
cry,3,1,4
completely,3,1,4
carry,1,3,4
blind,1,3,4
black,3,1,4
bigger,3,1,4
bed,2,2,4
anyway,2,2,4
ahead,1,3,4
warm,2,1,3
turned,1,2,3
truth,2,1,3
trust,2,1,3
telling,1,2,3
teach,1,2,3
strange,1,2,3
started,2,1,3
stairs,1,2,3
special,2,1,3
sort,1,2,3
set,1,2,3
saw,2,1,3
saved,1,2,3
rush,2,1,3
pulled,1,2,3
poor,1,2,3
policy,2,1,3
play,2,1,3
pass,1,2,3
part,1,2,3
ooh,1,2,3
needs,1,2,3
mad,1,2,3
luck,1,2,3
loved,2,1,3
knife,1,2,3
keeps,2,1,3
idea,1,2,3
hurt,2,1,3
hundred,2,1,3
honestly,1,2,3
hiding,1,2,3
hand,2,1,3
gives,1,2,3
fly,2,1,3
experience,2,1,3
excuse,1,2,3
exactly,1,2,3
dream,2,1,3
deal,2,1,3
dangerous,1,2,3
couldnt,2,1,3
act,1,2,3
wow,1,1,2
wondering,1,1,2
wonderful,1,1,2
wonder,1,1,2
watching,1,1,2
voice,1,1,2
undoing,1,1,2
sun,1,1,2
strong,1,1,2
square,1,1,2
speak,1,1,2
sister,1,1,2
shouldve,1,1,2
send,1,1,2
seeing,1,1,2
save,1,1,2
rushed,1,1,2
responsible,1,1,2
price,1,1,2
possible,1,1,2
plays,1,1,2
plan,1,1,2
personally,1,1,2
person,1,1,2
painful,1,1,2
ones,1,1,2
older,1,1,2
nightmare,1,1,2
neighbors,1,1,2
moving,1,1,2
morning,1,1,2
missing,1,1,2
meeting,1,1,2
lying,1,1,2
looked,1,1,2
listening,1,1,2
lays,1,1,2
kitchen,1,1,2
itll,1,1,2
