word,The Craft,The Good Witch,total
dont,63,68,131
im,56,66,122
know,57,47,104
oh,31,58,89
go,44,34,78
yeah,42,33,75
like,36,38,74
think,30,40,70
want,34,35,69
come,30,36,66
youre,31,34,65
right,23,33,56
thats,26,29,55
good,23,32,55
going,22,32,54
okay,21,26,47
ill,16,29,45
really,26,15,41
see,17,23,40
look,27,13,40
little,14,26,40
need,14,25,39
cant,18,20,38
didnt,19,16,35
stop,23,11,34
mean,16,18,34
sorry,25,7,32
shes,20,12,32
hes,17,14,31
whats,24,6,30
nancy,21,7,28
back,17,11,28
please,20,7,27
dream,2,23,25
time,5,19,24
thank,3,21,24
take,9,15,24
maybe,15,9,24
home,9,14,23
wait,16,6,22
sure,7,15,22
help,5,17,22
dad,6,16,22
witch,8,13,21
people,8,13,21
make,10,11,21
house,3,18,21
way,11,9,20
tell,9,11,20
love,11,9,20
hi,9,11,20
theyre,11,8,19
miss,1,18,19
magic,8,11,19
hey,1,18,19
guys,18,1,19
gonna,15,4,19
youve,1,17,18
thanks,2,15,17
doing,8,9,17
talk,4,12,16
lady,1,15,16
ive,5,11,16
hear,8,8,16
head,12,4,16
call,6,10,16
better,6,10,16
away,8,8,16
things,6,9,15
theres,4,11,15
nice,9,6,15
hello,4,11,15
doesnt,6,9,15
yes,8,6,14
thing,7,7,14
stay,6,8,14
put,6,8,14
place,4,10,14
honey,8,6,14
believe,6,8,14
two,1,12,13
thought,9,4,13
night,3,10,13
new,3,10,13
lets,9,4,13
find,3,10,13
school,4,8,12
police,1,11,12
old,2,10,12
mrs,1,11,12
keep,5,7,12
give,6,6,12
book,4,8,12
saying,8,3,11
powers,10,1,11
money,5,6,11
long,1,10,11
light,9,2,11
leave,5,6,11
happened,7,4,11
great,5,6,11
fine,8,3,11
bad,6,5,11
wrong,5,5,10
working,7,3,10
work,3,7,10
understand,8,2,10
told,5,5,10
today,3,7,10
three,8,2,10
real,5,5,10
lot,2,8,10
looking,7,3,10
inside,5,5,10
girls,9,1,10
getting,4,6,10
city,1,9,10
big,6,4,10
wanted,4,5,9
trying,6,3,9
touch,5,4,9
saw,2,7,9
ready,3,6,9
pay,7,2,9
mind,4,5,9
matter,5,4,9
made,5,4,9
hows,3,6,9
feel,8,1,9
dinner,2,7,9
day,3,6,9
arent,4,5,9
watch,6,2,8
try,4,4,8
tonight,2,6,8
tomorrow,2,6,8
times,7,1,8
pretty,5,3,8
mom,4,4,8
man,6,2,8
looks,3,5,8
listen,6,2,8
life,6,2,8
kids,1,7,8
hold,6,2,8
guess,3,5,8
girl,6,2,8
dead,5,3,8
beautiful,6,2,8
wont,1,6,7
whos,4,3,7
supposed,4,3,7
spell,5,2,7
special,2,5,7
sit,4,3,7
second,5,2,7
scared,4,3,7
mr,2,5,7
morning,1,6,7
meeting,1,6,7
live,1,6,7
killed,6,1,7
hard,2,5,7
happy,1,6,7
gave,3,4,7
friends,4,3,7
five,4,3,7
dreams,2,5,7
course,3,4,7
close,3,4,7
check,1,6,7
bye,4,3,7
bed,2,5,7
youll,2,4,6
used,2,4,6
use,3,3,6
true,3,3,6
treat,1,5,6
thinking,4,2,6
somebody,3,3,6
show,3,3,6
running,1,5,6
run,4,2,6
reason,3,3,6
open,2,4,6
move,4,2,6
mother,5,1,6
makes,4,2,6
late,3,3,6
jenny,2,4,6
hang,3,3,6
gotta,5,1,6
full,1,5,6
forget,4,2,6
exist,3,3,6
excuse,1,5,6
exactly,1,5,6
everybody,3,3,6
end,4,2,6
couldnt,2,4,6
coming,4,2,6
cause,5,1,6
care,1,5,6
car,3,3,6
called,3,3,6
black,3,3,6
ask,4,2,6
afraid,3,3,6
youd,2,3,5
wonderful,1,4,5
woman,1,4,5
voice,1,4,5
uh,1,4,5
turn,2,3,5
red,4,1,5
ran,2,3,5
probably,1,4,5
perfect,4,1,5
party,2,3,5
news,1,4,5
moon,1,4,5
minute,2,3,5
lights,4,1,5
knows,1,4,5
kind,2,3,5
important,1,4,5
huh,2,3,5
heart,3,2,5
havent,2,3,5
father,2,3,5
eyes,4,1,5
drink,4,1,5
different,1,4,5
crazy,3,2,5
anyway,2,3,5
ahead,1,4,5
ago,1,4,5
actually,4,1,5
wonder,1,3,4
witches,2,2,4
whatd,1,3,4
weve,2,2,4
wear,1,3,4
walk,2,2,4
turned,1,3,4
tried,2,2,4
surprised,3,1,4
spirit,3,1,4
sort,1,3,4
sleep,2,2,4
remember,3,1,4
play,2,2,4
nature,3,1,4
learn,2,2,4
isnt,2,2,4
interesting,1,3,4
idea,1,3,4
id,2,2,4
hurt,2,2,4
howd,2,2,4
heard,2,2,4
heads,3,1,4
having,3,1,4
hand,2,2,4
gone,3,1,4
given,1,3,4
funny,3,1,4
found,2,2,4
empty,1,3,4
definitely,2,2,4
daughter,1,3,4
comes,3,1,4
came,3,1,4
bring,1,3,4
body,3,1,4
bill,3,1,4
anybody,1,3,4
wouldnt,1,2,3
worked,2,1,3
window,1,2,3
win,2,1,3
wasnt,1,2,3
warm,2,1,3
waiting,2,1,3
uniform,2,1,3
travel,1,2,3
telling,1,2,3
taking,1,2,3
sweet,2,1,3
surprise,2,1,3
strange,1,2,3
storm,2,1,3
started,2,1,3
size,2,1,3
shall,2,1,3
sell,1,2,3
seen,2,1,3
roof,2,1,3
records,1,2,3
reach,2,1,3
quiet,1,2,3
poor,1,2,3
person,1,2,3
peace,2,1,3
outside,2,1,3
ones,1,2,3
noticed,1,2,3
moving,1,2,3
mine,2,1,3
letting,1,2,3
later,2,1,3
lab,1,2,3
keeps,2,1,3
itll,1,2,3
half,1,2,3
gotcha,1,2,3
games,1,2,3
feeling,2,1,3
far,2,1,3
face,1,2,3
eat,1,2,3
door,1,2,3
dollars,1,2,3
died,1,2,3
deal,2,1,3
dark,1,2,3
cool,1,2,3
coffee,1,2,3
clear,1,2,3
child,1,2,3
chance,1,2,3
candles,1,2,3
calm,2,1,3
boy,1,2,3
box,2,1,3
blessed,2,1,3
beauty,1,2,3
apologize,2,1,3
anymore,1,2,3
act,1,2,3
world,1,1,2
whoa,1,1,2
week,1,1,2
trip,1,1,2
tiny,1,1,2
theyd,1,1,2
therapy,1,1,2
teach,1,1,2
story,1,1,2
st,1,1,2
song,1,1,2
social,1,1,2
sleeping,1,1,2
sister,1,1,2
set,1,1,2
safe,1,1,2
restaurant,1,1,2
questions,1,1,2
punk,1,1,2
possible,1,1,2
plan,1,1,2
pass,1,1,2
neighborhood,1,1,2
needs,1,1,2
mothers,1,1,2
missing,1,1,2
manners,1,1,2
magical,1,1,2
luck,1,1,2
listening,1,1,2
liked,1,1,2
lie,1,1,2
leaves,1,1,2
known,1,1,2
judge,1,1,2
imagine,1,1,2
group,1,1,2
glad,1,1,2
gives,1,1,2
gift,1,1,2
fun,1,1,2
french,1,1,2
four,1,1,2
food,1,1,2
flight,1,1,2
fifth,1,1,2
fault,1,1,2
deserve,1,1,2
date,1,1,2
cute,1,1,2
crash,1,1,2
control,1,1,2
company,1,1,2
clean,1,1,2
challenge,1,1,2
cast,1,1,2
calls,1,1,2
brush,1,1,2
belong,1,1,2
arm,1,1,2
animals,1,1,2
sarah,29,0,29
god,20,0,20
chris,17,0,17
shit,13,0,13
power,12,0,12
manon,10,0,10
invoke,10,0,10
harm,10,0,10
thee,9,0,9
watchtowers,8,0,8
laura,8,0,8
hail,8,0,8
guardians,8,0,8
talking,7,0,7
bonnie,7,0,7
weird,6,0,6
pathetic,6,0,6
north,6,0,6
kill,6,0,6
hit,6,0,6
hate,6,0,6
fourth,6,0,6
earth,6,0,6
circle,6,0,6
shut,5,0,5
rochelle,5,0,5
read,5,0,5
paranoid,5,0,5
happen,5,0,5
hair,5,0,5
francis,5,0,5
finger,5,0,5
connie,5,0,5
bitch,5,0,5
air,5,0,5
weak,4,0,4
water,4,0,4
tricky,4,0,4
stuff,4,0,4
sisters,4,0,4
scars,4,0,4
san,4,0,4
practice,4,0,4
hell,4,0,4
francisco,4,0,4
football,4,0,4
fire,4,0,4
feather,4,0,4
enter,4,0,4
couch,4,0,4
board,4,0,4
bind,4,0,4
ass,4,0,4
white,3,0,3
west,3,0,3
tv,3,0,3
stiff,3,0,3
spells,3,0,3
south,3,0,3
