word,The Craft,The Love Witch,total
im,56,53,109
know,57,48,105
love,11,87,98
dont,63,31,94
like,36,54,90
witch,8,71,79
oh,31,43,74
burn,1,59,60
youre,31,27,58
go,44,14,58
yeah,42,14,56
really,26,28,54
want,34,14,48
think,30,17,47
right,23,22,45
thats,26,18,44
come,30,12,42
going,22,16,38
sorry,25,9,34
look,27,7,34
good,23,10,33
yes,8,24,32
way,11,21,32
see,17,15,32
whats,24,7,31
didnt,19,12,31
need,14,15,29
man,6,23,29
please,20,8,28
ill,16,12,28
hes,17,11,28
cant,18,10,28
okay,21,6,27
maybe,15,12,27
back,17,10,27
take,9,17,26
stop,23,3,26
little,14,11,25
ive,5,20,25
god,20,4,24
thought,9,14,23
shes,20,3,23
mean,16,7,23
make,10,13,23
life,6,16,22
hi,9,12,21
wait,16,4,20
power,12,8,20
guys,18,2,20
feel,8,12,20
theyre,11,7,18
magic,8,10,18
give,6,12,18
girl,6,12,18
used,2,15,17
people,8,9,17
gonna,15,2,17
sure,7,9,16
found,2,14,16
witches,2,13,15
things,6,9,15
nice,9,6,15
made,5,10,15
girls,9,6,15
woman,1,13,14
wanted,4,10,14
time,5,9,14
thing,7,7,14
tell,9,5,14
lets,9,5,14
away,8,6,14
thank,3,10,13
seen,2,11,13
doesnt,6,7,13
beautiful,6,7,13
baby,2,11,13
work,3,9,12
understand,8,4,12
thee,9,3,12
powers,10,2,12
invoke,10,2,12
id,2,10,12
home,9,3,12
day,3,9,12
crazy,3,9,12
women,1,10,11
wanna,2,9,11
mind,4,7,11
happened,7,4,11
fine,8,3,11
find,3,8,11
course,3,8,11
call,6,5,11
saying,8,2,10
nature,3,7,10
killed,6,4,10
honey,8,2,10
help,5,5,10
heart,3,7,10
hail,8,2,10
doing,8,2,10
died,1,9,10
bad,6,4,10
two,1,8,9
times,7,2,9
three,8,1,9
san,4,5,9
read,5,4,9
poor,1,8,9
perfect,4,5,9
new,3,6,9
mother,5,4,9
looking,7,2,9
hear,8,1,9
hair,5,4,9
great,5,4,9
francisco,4,5,9
better,6,3,9
working,7,1,8
weird,6,2,8
watch,6,2,8
trying,6,2,8
tonight,2,6,8
told,5,3,8
today,3,5,8
thinking,4,4,8
theres,4,4,8
stay,6,2,8
spells,3,5,8
pretty,5,3,8
place,4,4,8
old,2,6,8
loved,2,6,8
lot,2,6,8
kill,6,2,8
isnt,2,6,8
inside,5,3,8
house,3,5,8
hold,6,2,8
body,3,5,8
bitch,5,3,8
believe,6,2,8
ask,4,4,8
white,3,4,7
use,3,4,7
try,4,3,7
touch,5,2,7
stuff,4,3,7
strong,1,6,7
real,5,2,7
put,6,1,7
listen,6,1,7
leave,5,2,7
late,3,4,7
hey,1,6,7
hell,4,3,7
guess,3,4,7
gotta,5,2,7
end,4,3,7
drink,4,3,7
dinner,2,5,7
couldnt,2,5,7
connie,5,2,7
coming,4,3,7
circle,6,1,7
cause,5,2,7
came,3,4,7
bye,4,3,7
black,3,4,7
big,6,1,7
youve,1,5,6
youll,2,4,6
wrong,5,1,6
supposed,4,2,6
soon,1,5,6
room,3,3,6
ring,1,5,6
practice,4,2,6
police,1,5,6
night,3,3,6
matter,5,1,6
keep,5,1,6
hows,3,3,6
hard,2,4,6
getting,4,2,6
gave,3,3,6
friends,4,2,6
flying,3,3,6
bind,4,2,6
apartment,3,3,6
actually,4,2,6
wont,1,4,5
whos,4,1,5
uh,1,4,5
true,3,2,5
tried,2,3,5
tricky,4,1,5
thanks,2,3,5
teach,1,4,5
talk,4,1,5
sweet,2,3,5
started,2,3,5
start,1,4,5
sleep,2,3,5
sit,4,1,5
show,3,2,5
scared,4,1,5
run,4,1,5
remember,3,2,5
powerful,2,3,5
ones,1,4,5
natural,3,2,5
makes,4,1,5
looks,3,2,5
long,1,4,5
lights,4,1,5
learn,2,3,5
later,2,3,5
hello,4,1,5
heard,2,3,5
having,3,2,5
havent,2,3,5
guy,3,2,5
gone,3,2,5
feeling,2,3,5
eyes,4,1,5
city,1,4,5
care,1,4,5
car,3,2,5
bed,2,3,5
arent,4,1,5
world,1,3,4
ways,2,2,4
turns,1,3,4
trust,2,2,4
trip,1,3,4
tomorrow,2,2,4
theyd,1,3,4
stupid,1,3,4
strange,1,3,4
spirit,3,1,4
sort,1,3,4
shall,2,2,4
relax,3,1,4
ready,3,1,4
open,2,2,4
morning,1,3,4
miss,1,3,4
minute,2,2,4
known,1,3,4
jesus,3,1,4
huh,2,2,4
hot,2,2,4
heavy,3,1,4
hang,3,1,4
green,2,2,4
funny,3,1,4
fear,2,2,4
deep,3,1,4
days,2,2,4
crash,1,3,4
coven,1,3,4
class,1,3,4
careful,1,3,4
called,3,1,4
busy,2,2,4
anymore,1,3,4
animals,1,3,4
ancient,1,3,4
afraid,3,1,4
youd,2,1,3
wow,1,2,3
wouldnt,1,2,3
wonder,1,2,3
weve,2,1,3
week,1,2,3
wasnt,1,2,3
walk,2,1,3
waiting,2,1,3
underneath,2,1,3
suffer,1,2,3
seat,1,2,3
scary,2,1,3
saw,2,1,3
reading,1,2,3
reach,2,1,3
quiet,1,2,3
questions,1,2,3
probably,1,2,3
possible,1,2,3
policy,2,1,3
play,2,1,3
plane,2,1,3
phone,2,1,3
person,1,2,3
needs,1,2,3
mr,2,1,3
mine,2,1,3
live,1,2,3
lab,1,2,3
kind,2,1,3
idea,1,2,3
hurt,2,1,3
howd,2,1,3
hour,2,1,3
high,1,2,3
hand,2,1,3
glad,1,2,3
felt,1,2,3
fall,2,1,3
experience,2,1,3
exactly,1,2,3
dreams,2,1,3
dream,2,1,3
different,1,2,3
dangerous,1,2,3
coffee,1,2,3
check,1,2,3
blessed,2,1,3
beauty,1,2,3
anyway,2,1,3
anybody,1,2,3
amazing,2,1,3
write,1,1,2
wonderful,1,1,2
wish,1,1,2
whores,1,1,2
whore,1,1,2
whoa,1,1,2
wear,1,1,2
view,1,1,2
thy,1,1,2
thoughts,1,1,2
taking,1,1,2
suspect,1,1,2
story,1,1,2
stepford,1,1,2
starts,1,1,2
spiritual,1,1,2
sister,1,1,2
sharp,1,1,2
send,1,1,2
sell,1,1,2
seeing,1,1,2
saved,1,1,2
safe,1,1,2
rocks,1,1,2
pool,1,1,2
pieces,1,1,2
personal,1,1,2
part,1,1,2
painful,1,1,2
older,1,1,2
moon,1,1,2
meeting,1,1,2
magical,1,1,2
liked,1,1,2
lie,1,1,2
letting,1,1,2
leaving,1,1,2
lay,1,1,2
lady,1,1,2
knows,1,1,2
kids,1,1,2
interrupt,1,1,2
interesting,1,1,2
hole,1,1,2
hmm,1,1,2
helped,1,1,2
happy,1,1,2
ground,1,1,2
gross,1,1,2
given,1,1,2
gathering,1,1,2
games,1,1,2
game,1,1,2
fun,1,1,2
french,1,1,2
focus,1,1,2
flowing,1,1,2
fixed,1,1,2
feet,1,1,2
face,1,1,2
excuse,1,1,2
eat,1,1,2
details,1,1,2
daughter,1,1,2
dark,1,1,2
control,1,1,2
concentrating,1,1,2
company,1,1,2
clear,1,1,2
clean,1,1,2
child,1,1,2
challenge,1,1,2
candles,1,1,2
calls,1,1,2
brush,1,1,2
bet,1,1,2
bedroom,1,1,2
arm,1,1,2
anyways,1,1,2
answer,1,1,2
ago,1,1,2
act,1,1,2
abused,1,1,2
sarah,29,0,29
nancy,21,0,21
chris,17,0,17
shit,13,0,13
head,12,0,12
manon,10,0,10
harm,10,0,10
light,9,0,9
watchtowers,8,0,8
laura,8,0,8
guardians,8,0,8
talking,7,0,7
pay,7,0,7
bonnie,7,0,7
pathetic,6,0,6
north,6,0,6
hit,6,0,6
hate,6,0,6
fourth,6,0,6
earth,6,0,6
dad,6,0,6
spell,5,0,5
shut,5,0,5
second,5,0,5
rochelle,5,0,5
paranoid,5,0,5
money,5,0,5
happen,5,0,5
francis,5,0,5
finger,5,0,5
dead,5,0,5
air,5,0,5
weak,4,0,4
water,4,0,4
sisters,4,0,4
school,4,0,4
scars,4,0,4
red,4,0,4
move,4,0,4
mom,4,0,4
forget,4,0,4
football,4,0,4
five,4,0,4
fire,4,0,4
feather,4,0,4
enter,4,0,4
couch,4,0,4
book,4,0,4
board,4,0,4
ass,4,0,4
west,3,0,3
tv,3,0,3
surprised,3,0,3
stiff,3,0,3
south,3,0,3
somebody,3,0,3
serpent,3,0,3
reason,3,0,3
ray,3,0,3
jealous,3,0,3
heads,3,0,3
happening,3,0,3
glamour,3,0,3
exist,3,0,3
everybody,3,0,3
east,3,0,3
downs,3,0,3
devil,3,0,3
cry,3,0,3
corners,3,0,3
completely,3,0,3
comes,3,0,3
close,3,0,3
butt,3,0,3
blonde,3,0,3
bill,3,0,3
bigger,3,0,3
balance,3,0,3
worked,2,0,2
win,2,0,2
whyd,2,0,2
weirdos,2,0,2
warm,2,0,2
usually,2,0,2
unto,2,0,2
uniform,2,0,2
undo,2,0,2
twenty,2,0,2
turn,2,0,2
