word,The Craft,Sabrina the Teenage Witch,total
brush,1,0,1
bro,1,0,1
bring,1,0,1
brief,1,0,1
breathing,1,0,1
bravo,1,0,1
bothers,1,0,1
bonnies,1,0,1
bonjour,1,0,1
blind,1,0,1
bleached,1,0,1
bleach,1,0,1
blackbox,1,0,1
bitter,1,0,1
bitten,1,0,1
bitches,1,0,1
biology,1,0,1
binding,1,0,1
betrayed,1,0,1
bet,1,0,1
bernard,1,0,1
benefits,1,0,1
belong,1,0,1
begging,1,0,1
bedroom,1,0,1
beauty,1,0,1
beaucoup,1,0,1
bathroom,1,0,1
basic,1,0,1
bailey,1,0,1
bag,1,0,1
backs,1,0,1
available,1,0,1
authorities,1,0,1
attitude,1,0,1
assholes,1,0,1
asshole,1,0,1
assembly,1,0,1
arrival,1,0,1
armature,1,0,1
arm,1,0,1
area,1,0,1
anyways,1,0,1
answer,1,0,1
animals,1,0,1
angeles,1,0,1
anderson,1,0,1
almanac,1,0,1
allow,1,0,1
allover,1,0,1
alert,1,0,1
ago,1,0,1
ages,1,0,1
accidents,1,0,1
abused,1,0,1
ability,1,0,1
sarah,0,29,29
nancy,0,21,21
chris,0,17,17
shit,0,13,13
head,0,12,12
manon,0,10,10
invoke,0,10,10
harm,0,10,10
thee,0,9,9
light,0,9,9
watchtowers,0,8,8
saying,0,8,8
laura,0,8,8
hail,0,8,8
guardians,0,8,8
pay,0,7,7
bonnie,0,7,7
pathetic,0,6,6
north,0,6,6
killed,0,6,6
kill,0,6,6
hate,0,6,6
fourth,0,6,6
earth,0,6,6
dad,0,6,6
touch,0,5,5
shut,0,5,5
second,0,5,5
rochelle,0,5,5
paranoid,0,5,5
mother,0,5,5
inside,0,5,5
francis,0,5,5
finger,0,5,5
dead,0,5,5
connie,0,5,5
cause,0,5,5
bitch,0,5,5
weak,0,4,4
tricky,0,4,4
sit,0,4,4
sisters,0,4,4
scars,0,4,4
scared,0,4,4
san,0,4,4
red,0,4,4
lights,0,4,4
francisco,0,4,4
fire,0,4,4
enter,0,4,4
drink,0,4,4
couch,0,4,4
board,0,4,4
bind,0,4,4
ass,0,4,4
west,0,3,3
tv,0,3,3
thank,0,3,3
surprised,0,3,3
stiff,0,3,3
spirit,0,3,3
serpent,0,3,3
ray,0,3,3
nature,0,3,3
jesus,0,3,3
heavy,0,3,3
heads,0,3,3
hang,0,3,3
glamour,0,3,3
gave,0,3,3
exist,0,3,3
east,0,3,3
downs,0,3,3
devil,0,3,3
cry,0,3,3
corners,0,3,3
completely,0,3,3
body,0,3,3
blonde,0,3,3
black,0,3,3
bill,0,3,3
bigger,0,3,3
balance,0,3,3
apartment,0,3,3
afraid,0,3,3
weirdos,0,2,2
ways,0,2,2
warm,0,2,2
wanna,0,2,2
unto,0,2,2
uniform,0,2,2
undo,0,2,2
underneath,0,2,2
twenty,0,2,2
tried,0,2,2
takes,0,2,2
sucks,0,2,2
straight,0,2,2
slut,0,2,2
slit,0,2,2
sleep,0,2,2
size,0,2,2
scary,0,2,2
salon,0,2,2
rush,0,2,2
rub,0,2,2
rochelles,0,2,2
results,0,2,2
ran,0,2,2
procedure,0,2,2
powerful,0,2,2
policy,0,2,2
plane,0,2,2
phone,0,2,2
peace,0,2,2
outside,0,2,2
noninvasive,0,2,2
needle,0,2,2
nah,0,2,2
mine,0,2,2
middle,0,2,2
loved,0,2,2
laid,0,2,2
keeps,0,2,2
juke,0,2,2
joke,0,2,2
jenny,0,2,2
hour,0,2,2
hot,0,2,2
hooker,0,2,2
hanging,0,2,2
hand,0,2,2
green,0,2,2
goddamn,0,2,2
glory,0,2,2
fingers,0,2,2
fear,0,2,2
father,0,2,2
experience,0,2,2
discount,0,2,2
dinner,0,2,2
deal,0,2,2
darling,0,2,2
concentrate,0,2,2
calm,0,2,2
busy,0,2,2
box,0,2,2
blessed,0,2,2
