word,The Craft,Halloweentown,total
know,57,66,123
dont,63,54,117
im,56,60,116
oh,31,83,114
like,36,64,100
go,44,47,91
come,30,51,81
yeah,42,23,65
youre,31,32,63
want,34,25,59
thats,26,32,58
see,17,39,56
right,23,33,56
look,27,27,54
think,30,19,49
good,23,23,46
gonna,15,30,45
really,26,17,43
going,22,19,41
cant,18,23,41
mean,16,23,39
back,17,22,39
stop,23,15,38
thing,7,30,37
shes,20,17,37
didnt,19,17,36
sorry,25,10,35
mother,5,30,35
mom,4,31,35
whats,24,8,32
please,20,12,32
yes,8,23,31
little,14,17,31
ill,16,15,31
lets,9,21,30
time,5,23,28
witch,8,19,27
maybe,15,12,27
hes,17,10,27
ooh,1,25,26
hey,1,25,26
help,5,21,26
guys,18,8,26
home,9,16,25
way,11,13,24
wait,16,8,24
powers,10,14,24
need,14,10,24
magic,8,16,24
make,10,13,23
doesnt,6,16,22
world,1,20,21
big,6,15,21
take,9,11,20
put,6,14,20
tell,9,10,19
give,6,13,19
bet,1,18,19
stuff,4,14,18
kids,1,17,18
bye,4,14,18
witches,2,15,17
thought,9,8,17
theyre,11,6,17
man,6,11,17
ive,5,12,17
doing,8,9,17
bad,6,11,17
life,6,10,16
head,12,4,16
coming,4,12,16
youve,1,14,15
theres,4,11,15
thanks,2,13,15
nice,9,6,15
keep,5,10,15
hi,9,6,15
uh,1,13,14
two,1,13,14
turn,2,12,14
trying,6,8,14
things,6,8,14
power,12,2,14
hear,8,6,14
gotta,5,9,14
fine,8,6,14
better,6,8,14
weird,6,7,13
understand,8,5,13
spell,5,8,13
long,1,12,13
house,3,10,13
hair,5,8,13
came,3,10,13
believe,6,7,13
away,8,5,13
working,7,5,12
thank,3,9,12
talking,7,5,12
sure,7,5,12
place,4,8,12
people,8,4,12
love,11,1,12
light,9,3,12
huh,2,10,12
three,8,3,11
stay,6,5,11
real,5,6,11
hello,4,7,11
guess,3,8,11
great,5,6,11
feel,8,3,11
book,4,7,11
actually,4,7,11
wrong,5,5,10
times,7,3,10
thee,9,1,10
talk,4,6,10
show,3,7,10
pretty,5,5,10
old,2,8,10
made,5,5,10
leave,5,5,10
getting,4,6,10
excuse,1,9,10
end,4,6,10
course,3,7,10
call,6,4,10
wow,1,8,9
watch,6,3,9
try,4,5,9
saying,8,1,9
powerful,2,7,9
open,2,7,9
night,3,6,9
looking,7,2,9
kind,2,7,9
honey,8,1,9
hold,6,3,9
dad,6,3,9
work,3,5,8
weve,2,6,8
use,3,5,8
true,3,5,8
school,4,4,8
remember,3,5,8
live,1,7,8
havent,2,6,8
happened,7,1,8
girl,6,2,8
find,3,5,8
days,2,6,8
day,3,5,8
chance,1,7,8
wont,1,6,7
wanted,4,3,7
used,2,5,7
told,5,2,7
thinking,4,3,7
supposed,4,3,7
spells,3,4,7
special,2,5,7
shut,5,2,7
run,4,3,7
read,5,2,7
party,2,5,7
minute,2,5,7
isnt,2,5,7
id,2,5,7
hit,6,1,7
happen,5,2,7
guy,3,4,7
friends,4,3,7
everybody,3,4,7
dinner,2,5,7
dead,5,2,7
cause,5,2,7
ask,4,3,7
anyway,2,5,7
tried,2,4,6
touch,5,1,6
totally,1,5,6
tonight,2,4,6
start,1,5,6
soon,1,5,6
sit,4,2,6
shell,1,5,6
second,5,1,6
save,1,5,6
reason,3,3,6
perfect,4,2,6
part,1,5,6
move,4,2,6
looks,3,3,6
later,2,4,6
late,3,3,6
inside,5,1,6
happening,3,3,6
father,2,4,6
dark,1,5,6
crazy,3,3,6
cool,1,5,6
careful,1,5,6
afraid,3,3,6
youd,2,3,5
whoa,1,4,5
wasnt,1,4,5
tv,3,2,5
turned,1,4,5
trust,2,3,5
today,3,2,5
story,1,4,5
sisters,4,1,5
sister,1,4,5
practice,4,1,5
new,3,2,5
nature,3,2,5
mine,2,3,5
mind,4,1,5
lot,2,3,5
lights,4,1,5
idea,1,4,5
hurt,2,3,5
hell,4,1,5
heart,3,2,5
having,3,2,5
hang,3,2,5
gone,3,2,5
goes,2,3,5
funny,3,2,5
found,2,3,5
forget,4,1,5
follow,1,4,5
especially,2,3,5
dream,2,3,5
door,1,4,5
called,3,2,5
bring,1,4,5
bed,2,3,5
baby,2,3,5
arent,4,1,5
whered,1,3,4
waiting,2,2,4
truth,2,2,4
tomorrow,2,2,4
sweet,2,2,4
started,2,2,4
spirit,3,1,4
sleep,2,2,4
room,3,1,4
ready,3,1,4
ran,2,2,4
probably,1,3,4
luck,1,3,4
loved,2,2,4
kitchen,1,3,4
keeps,2,2,4
important,1,3,4
hows,3,1,4
heads,3,1,4
hard,2,2,4
hand,2,2,4
gave,3,1,4
flying,3,1,4
fear,2,2,4
far,2,2,4
exist,3,1,4
deal,2,2,4
couldnt,2,2,4
completely,3,1,4
comes,3,1,4
care,1,3,4
boy,1,3,4
body,3,1,4
aint,2,2,4
ago,1,3,4
youll,2,1,3
wouldnt,1,2,3
worst,1,2,3
worked,2,1,3
wonderful,1,2,3
woman,1,2,3
wish,1,2,3
win,2,1,3
wanna,2,1,3
treating,1,2,3
treat,1,2,3
telling,1,2,3
teach,1,2,3
shopping,1,2,3
sell,1,2,3
seen,2,1,3
seeing,1,2,3
scary,2,1,3
saw,2,1,3
rush,2,1,3
running,1,2,3
punk,1,2,3
poor,1,2,3
peace,2,1,3
outside,2,1,3
ones,1,2,3
needs,1,2,3
mr,2,1,3
moving,1,2,3
mothers,1,2,3
missing,1,2,3
miss,1,2,3
learn,2,1,3
jerk,2,1,3
itll,1,2,3
hour,2,1,3
hot,2,1,3
heard,2,1,3
happy,1,2,3
hanging,2,1,3
half,1,2,3
glory,2,1,3
fun,1,2,3
fly,2,1,3
fill,1,2,3
feeling,2,1,3
fall,2,1,3
face,1,2,3
eat,1,2,3
different,1,2,3
daughter,1,2,3
date,1,2,3
darling,2,1,3
dangerous,1,2,3
cute,1,2,3
concentrate,2,1,3
class,1,2,3
child,1,2,3
check,1,2,3
busy,2,1,3
box,2,1,3
blade,2,1,3
bag,1,2,3
apologize,2,1,3
anymore,1,2,3
amazing,2,1,3
write,1,1,2
wrap,1,1,2
wondering,1,1,2
upstairs,1,1,2
turns,1,1,2
trees,1,1,2
taking,1,1,2
suffer,1,1,2
stupid,1,1,2
strange,1,1,2
stir,1,1,2
starts,1,1,2
stare,1,1,2
square,1,1,2
split,1,1,2
speak,1,1,2
sounded,1,1,2
song,1,1,2
set,1,1,2
seriously,1,1,2
send,1,1,2
sea,1,1,2
safe,1,1,2
ruler,1,1,2
rest,1,1,2
respect,1,1,2
reading,1,1,2
quiet,1,1,2
playing,1,1,2
pick,1,1,2
