word,Snow White and the Seven Dwarves,The Crucible,total
theyll,2,3,5
thee,2,3,5
strange,1,4,5
silly,3,2,5
poor,3,2,5
lost,2,3,5
loose,2,3,5
id,2,3,5
hurry,3,2,5
high,1,4,5
guard,3,2,5
full,4,1,5
fire,1,4,5
feel,3,2,5
brought,1,4,5
words,3,1,4
wonder,1,3,4
women,2,2,4
wicked,3,1,4
whispering,1,3,4
touch,1,3,4
throat,1,3,4
sweet,1,3,4
stay,3,1,4
sort,1,3,4
shut,2,2,4
search,2,2,4
running,1,3,4
remember,2,2,4
quite,3,1,4
quiet,2,2,4
promise,1,3,4
pick,3,1,4
note,3,1,4
makes,1,3,4
long,1,3,4
kiss,3,1,4
huh,3,1,4
howling,3,1,4
fools,3,1,4
cry,1,3,4
close,2,2,4
cause,1,3,4
break,1,3,4
big,3,1,4
beware,1,3,4
better,1,3,4
whos,2,1,3
week,1,2,3
walk,1,2,3
tongue,2,1,3
straight,1,2,3
sticks,1,2,3
stand,1,2,3
sorry,2,1,3
slave,1,2,3
skin,2,1,3
silence,1,2,3
show,1,2,3
set,1,2,3
secret,2,1,3
rest,1,2,3
red,2,1,3
quick,2,1,3
papa,2,1,3
natural,1,2,3
month,1,2,3
meet,2,1,3
matter,2,1,3
loved,1,2,3
listen,1,2,3
isnt,2,1,3
invisible,1,2,3
inch,1,2,3
hearts,1,2,3
head,1,2,3
grace,1,2,3
goes,1,2,3
forget,1,2,3
flowers,1,2,3
fall,1,2,3
fair,2,1,3
drink,2,1,3
doesnt,2,1,3
didnt,2,1,3
crush,1,2,3
crazy,2,1,3
courage,2,1,3
couldnt,1,2,3
constant,2,1,3
change,1,2,3
buried,2,1,3
breath,2,1,3
best,1,2,3
attacking,1,2,3
attack,1,2,3
astonished,2,1,3
afraid,2,1,3
youd,1,1,2
wheres,1,1,2
victims,1,1,2
victim,1,1,2
turned,1,1,2
trouble,1,1,2
strong,1,1,2
steal,1,1,2
standing,1,1,2
spell,1,1,2
shame,1,1,2
scream,1,1,2
rose,1,1,2
pretty,1,1,2
pot,1,1,2
past,1,1,2
ordinary,1,1,2
new,1,1,2
mouths,1,1,2
live,1,1,2
kettle,1,1,2
inside,1,1,2
hate,1,1,2
goats,1,1,2
fright,1,1,2
found,1,1,2
food,1,1,2
follow,1,1,2
floor,1,1,2
fever,1,1,2
fell,1,1,2
feet,1,1,2
dust,1,1,2
